,Episode,p1_q,p2_q,p1_e,p2_e
0,0,0.00981,0.03353999999999999,0.011085000000000001,0.05661600000000001
1,1,0.015195,0.029220000000000006,0.016035,0.052254
2,2,0.00606,0.034938,0.007139999999999999,0.057738000000000005
3,3,0.010905,0.030107999999999992,0.012029999999999999,0.053382
4,4,0.010409999999999999,0.03190799999999999,0.011519999999999999,0.055296000000000005
5,5,0.009464999999999998,0.032987999999999996,0.010545,0.056442
6,6,0.0056099999999999995,0.031302,0.006869999999999999,0.054588
7,7,0.010005,0.029622000000000002,0.011265,0.052254
8,8,0.00804,0.029453999999999994,0.009359999999999999,0.05253
9,9,0.01023,0.028188000000000008,0.01149,0.051258
10,10,0.00945,0.031451999999999994,0.010530000000000001,0.054521999999999994
11,11,0.01044,0.037517999999999996,0.011609999999999999,0.060306
12,12,0.014924999999999999,0.027672000000000002,0.016139999999999998,0.050646000000000004
13,13,0.00921,0.030629999999999998,0.010379999999999999,0.053856
14,14,0.01602,0.031638,0.016980000000000002,0.054785999999999994
15,15,0.011385,0.032244,0.012735,0.05510999999999999
16,16,0.013094999999999999,0.0282,0.01458,0.05130599999999999
17,17,0.008385,0.03212999999999999,0.009705,0.055128
18,18,0.01026,0.032916,0.011535,0.055907999999999985
19,19,0.01089,0.03251999999999999,0.01221,0.055428
20,20,0.00906,0.030077999999999997,0.01017,0.05328
21,21,0.008280000000000001,0.029754,0.0093,0.05319599999999999
22,22,0.007814999999999999,0.036899999999999995,0.00915,0.06051599999999999
23,23,0.0074399999999999996,0.038796,0.008955,0.06234
24,24,0.008834999999999999,0.035910000000000004,0.010244999999999999,0.05888399999999999
25,25,0.00963,0.02791800000000001,0.010754999999999999,0.051168
26,26,0.010905,0.028619999999999996,0.011864999999999999,0.052098000000000005
27,27,0.006899999999999999,0.03200999999999999,0.008055,0.055278
28,28,0.009914999999999998,0.031434,0.01098,0.05418000000000001
29,29,0.012869999999999998,0.031068,0.013934999999999998,0.05447400000000001
30,30,0.01146,0.025223999999999996,0.012705,0.048221999999999994
31,31,0.010635,0.027828,0.01197,0.050874
32,32,0.00723,0.033137999999999994,0.008415,0.056292
33,33,0.008145,0.03153,0.009705,0.054906
34,34,0.007064999999999999,0.032028,0.00822,0.05474999999999999
35,35,0.008924999999999999,0.036576,0.010185,0.060378
36,36,0.013484999999999997,0.02604,0.014684999999999998,0.04931399999999999
37,37,0.013169999999999998,0.028644000000000003,0.014325,0.051888000000000004
38,38,0.012555,0.02754,0.013694999999999999,0.050957999999999996
39,39,0.015975,0.027882000000000004,0.01749,0.051197999999999994
40,40,0.01167,0.03283799999999999,0.012989999999999998,0.0561
41,41,0.012315000000000001,0.032532,0.01359,0.055566
42,42,0.009645,0.034247999999999994,0.011085000000000001,0.05708400000000001
43,43,0.013919999999999998,0.029004000000000002,0.015224999999999999,0.051576000000000004
44,44,0.009839999999999998,0.034421999999999994,0.011009999999999999,0.05722200000000001
45,45,0.01218,0.031248,0.01347,0.054486
46,46,0.00579,0.034943999999999996,0.006989999999999999,0.058014
47,47,0.009914999999999998,0.030611999999999993,0.011024999999999998,0.05370600000000001
48,48,0.008804999999999999,0.035196,0.009555,0.058848000000000004
49,49,0.00951,0.036635999999999995,0.010695,0.06001199999999999
50,50,0.01074,0.031782000000000005,0.01191,0.05455200000000002
51,51,0.009825,0.033042,0.011099999999999999,0.055896
52,52,0.00834,0.032442,0.009765,0.055571999999999996
53,53,0.010034999999999999,0.030714,0.011235,0.054264
54,54,0.009375,0.037925999999999994,0.010769999999999998,0.06132599999999999
55,55,0.00885,0.026406,0.00996,0.049392000000000005
56,56,0.009314999999999999,0.035352,0.010499999999999999,0.058193999999999996
57,57,0.006900000000000001,0.037919999999999995,0.0084,0.06100800000000001
58,58,0.00852,0.030378,0.00975,0.053070000000000006
59,59,0.010409999999999999,0.03608399999999999,0.011519999999999999,0.059171999999999995
60,60,0.014655000000000001,0.02845199999999999,0.015735,0.051684
61,61,0.010755,0.03444,0.012105,0.057594000000000006
62,62,0.00636,0.039918,0.007665,0.062874
63,63,0.010095,0.031883999999999996,0.011204999999999998,0.05496
64,64,0.008085,0.036558,0.00945,0.059699999999999996
65,65,0.010665,0.030059999999999996,0.011864999999999999,0.053237999999999994
66,66,0.007425000000000001,0.037860000000000005,0.00858,0.06116999999999999
67,67,0.012134999999999998,0.029165999999999997,0.013499999999999998,0.052698
68,68,0.0093,0.031254,0.01023,0.05469600000000001
69,69,0.01134,0.026052,0.012225000000000001,0.04966799999999999
70,70,0.0111,0.026646,0.01221,0.04965
71,71,0.010304999999999998,0.037163999999999996,0.01128,0.05985599999999998
72,72,0.013800000000000002,0.030875999999999994,0.014834999999999997,0.05350800000000001
73,73,0.011565,0.029993999999999996,0.012705,0.05301000000000001
74,74,0.00951,0.029712000000000006,0.01065,0.05247600000000001
75,75,0.00972,0.03580799999999999,0.010695,0.05895599999999999
76,76,0.008595,0.034086,0.01008,0.056843999999999985
77,77,0.009479999999999999,0.035856,0.010695,0.058956
78,78,0.011144999999999999,0.029088,0.01224,0.05222999999999999
79,79,0.008415,0.03537599999999999,0.009615,0.058368
80,80,0.00615,0.03306,0.007319999999999998,0.05641800000000001
81,81,0.008249999999999999,0.036635999999999995,0.009524999999999999,0.059406
82,82,0.010245,0.029466000000000003,0.011609999999999999,0.05226600000000001
83,83,0.012839999999999999,0.029753999999999992,0.013829999999999999,0.052476
84,84,0.011504999999999998,0.034235999999999996,0.01266,0.057336
85,85,0.007965,0.036378,0.009269999999999999,0.059358
86,86,0.00711,0.030749999999999996,0.008324999999999999,0.053598
87,87,0.009104999999999999,0.034434000000000006,0.01023,0.05680199999999999
88,88,0.0054600000000000004,0.034296,0.006494999999999999,0.05737799999999999
89,89,0.008084999999999998,0.043865999999999995,0.009285,0.06638999999999999
90,90,0.01044,0.032382,0.011715,0.055535999999999995
91,91,0.009225,0.03427799999999999,0.010589999999999999,0.05769000000000001
92,92,0.008879999999999999,0.033786,0.01017,0.056748
93,93,0.004725,0.032616,0.006254999999999999,0.05624399999999999
94,94,0.009014999999999999,0.033659999999999995,0.010469999999999998,0.05648999999999999
95,95,0.0056099999999999995,0.040979999999999996,0.006900000000000001,0.064146
96,96,0.010724999999999998,0.032172000000000006,0.01191,0.05523000000000001
97,97,0.00801,0.038891999999999996,0.009374999999999998,0.061571999999999995
98,98,0.01239,0.032706,0.013395,0.05563799999999999
99,99,0.009645,0.03607199999999999,0.01074,0.058733999999999995
100,100,0.009749999999999998,0.034656,0.011024999999999998,0.057234
101,101,0.01104,0.025344000000000002,0.012015000000000001,0.048462000000000005
102,102,0.00921,0.03975599999999999,0.010544999999999999,0.062574
103,103,0.009885000000000001,0.036893999999999996,0.011265,0.059598
104,104,0.008834999999999999,0.032688,0.010034999999999999,0.05577599999999999
105,105,0.00636,0.032868,0.007575,0.056465999999999995
106,106,0.00903,0.03126000000000001,0.010094999999999998,0.053849999999999995
107,107,0.00993,0.033263999999999995,0.011295,0.056244
108,108,0.01068,0.037919999999999995,0.012134999999999998,0.06112799999999999
109,109,0.011189999999999999,0.028074,0.01248,0.05124000000000001
110,110,0.008745,0.030966,0.009825,0.053748
111,111,0.008205,0.035267999999999994,0.009555,0.058488000000000005
112,112,0.008834999999999999,0.030305999999999993,0.009915,0.05368199999999999
113,113,0.010335,0.031236,0.01131,0.053838
114,114,0.0068249999999999995,0.03452999999999999,0.008025,0.057354
115,115,0.013035000000000001,0.028481999999999997,0.014474999999999998,0.05163
116,116,0.009644999999999999,0.032706,0.01104,0.055704
117,117,0.009345000000000001,0.03397200000000001,0.010515,0.056663999999999985
118,118,0.00693,0.035562,0.008085,0.05919599999999999
119,119,0.010155,0.033732,0.011175,0.056262
120,120,0.011595,0.036750000000000005,0.012945000000000002,0.05977799999999999
121,121,0.009165,0.032964,0.01026,0.055968
122,122,0.009389999999999999,0.03386999999999999,0.010620000000000001,0.056976
123,123,0.013979999999999998,0.030072,0.014865,0.05316599999999999
124,124,0.011205,0.029244000000000003,0.01245,0.052668
125,125,0.007935,0.033659999999999995,0.00915,0.056651999999999994
126,126,0.009555,0.032201999999999995,0.01044,0.05506200000000001
127,127,0.012329999999999999,0.032825999999999994,0.01356,0.05578199999999999
128,128,0.014879999999999999,0.02878799999999999,0.016124999999999997,0.051696000000000006
129,129,0.010905000000000001,0.028278000000000005,0.012164999999999999,0.051222
130,130,0.01506,0.028679999999999997,0.016544999999999997,0.05178
131,131,0.00822,0.03397200000000001,0.009615,0.056736
132,132,0.0074399999999999996,0.03626399999999999,0.008924999999999999,0.05992799999999999
133,133,0.009525,0.035988000000000006,0.010754999999999999,0.058949999999999995
