,Episode,p1_q,p2_q,p1_e,p2_e
0,0,0.00639,0.016169999999999997,0.007455000000000001,0.038826000000000006
1,1,0.007605000000000001,0.015917999999999998,0.008775,0.03924
2,2,0.00606,0.015846000000000002,0.007379999999999999,0.038939999999999995
3,3,0.004725,0.019734,0.005939999999999999,0.04304999999999999
4,4,0.00564,0.018018,0.00663,0.041358000000000006
5,5,0.005775,0.017064,0.00702,0.04005
6,6,0.00597,0.017555999999999995,0.00717,0.04099799999999999
7,7,0.005955,0.017034,0.00708,0.040158000000000006
8,8,0.00678,0.016794,0.0077399999999999995,0.040229999999999995
9,9,0.007514999999999999,0.012900000000000002,0.00852,0.036714
10,10,0.0066,0.015000000000000003,0.00789,0.037974
11,11,0.005445,0.019739999999999997,0.007005,0.04291799999999999
12,12,0.008129999999999998,0.013884,0.009585,0.037332000000000004
13,13,0.005985,0.015359999999999999,0.0069900000000000006,0.037680000000000005
14,14,0.006975,0.017286,0.008069999999999999,0.040769999999999994
15,15,0.0064199999999999995,0.017076,0.00753,0.040397999999999996
16,16,0.008115,0.014406,0.009479999999999999,0.037745999999999995
17,17,0.006285000000000001,0.017471999999999998,0.0072900000000000005,0.040704000000000004
18,18,0.006584999999999999,0.016277999999999997,0.007649999999999999,0.038933999999999996
19,19,0.006855,0.014736,0.00801,0.03822
20,20,0.008324999999999999,0.013998,0.009285,0.037127999999999994
21,21,0.006885,0.015450000000000002,0.00813,0.038796
22,22,0.006284999999999999,0.015246,0.007769999999999999,0.037919999999999995
23,23,0.007755,0.01527,0.008895,0.03857999999999999
24,24,0.008355,0.013326,0.009615,0.036222
25,25,0.006719999999999999,0.016499999999999997,0.008085,0.039534
26,26,0.007274999999999999,0.013493999999999997,0.008295,0.036234
27,27,0.00543,0.018528,0.006750000000000001,0.041748
28,28,0.006465,0.01581,0.007785,0.039102
29,29,0.00624,0.015876,0.0071849999999999995,0.038988
30,30,0.006840000000000001,0.015318,0.00801,0.038142
31,31,0.00693,0.01581,0.007965,0.039498000000000005
32,32,0.008355,0.012809999999999998,0.0093,0.035916
33,33,0.00642,0.017352,0.00747,0.04106400000000001
34,34,0.0081,0.014249999999999999,0.00933,0.037607999999999996
35,35,0.00693,0.015383999999999998,0.008249999999999999,0.038592
36,36,0.0057,0.018654,0.00693,0.04187999999999999
37,37,0.005549999999999999,0.016805999999999998,0.0068249999999999995,0.039731999999999996
38,38,0.005415,0.016842,0.006465,0.040254000000000005
