,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.12960000000000044,216,16.400000000000006,1,0.003558302065357566,12,90
1,1,0.11279999999999801,188,14.100000000000001,0.9998,0.0040125856176018715,8,87
2,2,0.13139999999999769,219,13.900000000000002,0.99960004,0.00858014915138483,8,85
3,3,0.12959999999999805,216,18.900000000000002,0.9994001199920001,0.006329882424324751,20,75
4,4,0.11400000000000854,190,16.6,0.9992002399680017,0.005388879217207432,13,87
5,5,0.11160000000000836,186,19.600000000000005,0.9990003999200081,0.0036544064059853554,18,92
6,6,0.12120000000000908,202,17.5,0.9988005998400241,0.008152775466442108,16,81
7,7,0.12900000000000966,215,16.6,0.9986008397200561,0.004901000298559666,15,77
8,8,0.12299999999999023,205,15.600000000000001,0.9984011195521121,0.004716967232525349,10,92
9,9,0.12839999999998586,214,13.5,0.9982014393282017,0.004956255201250315,7,86
10,10,0.13199999999998546,220,12.3,0.9980017990403361,0.004390183370560408,5,84
11,11,0.12299999999998645,205,15.8,0.9978021986805281,0.004523697774857283,14,74
12,12,0.1043999999999885,174,16.700000000000003,0.997602638240792,0.004590354859828949,12,93
13,13,0.11579999999998725,193,15.100000000000001,0.9974031177131438,0.00488297501578927,8,97
14,14,0.12239999999998652,204,15.900000000000002,0.9972036370896012,0.0049714380875229836,12,85
15,15,0.11999999999998678,200,14.200000000000003,0.9970041963621834,0.004593812860548496,8,88
16,16,0.11939999999998707,199,15.100000000000001,0.996804795522911,0.004348502028733492,9,92
17,17,0.13679999999998493,228,15.700000000000003,0.9966054345638065,0.005771185737103224,13,78
18,18,0.11519999999998731,192,18.300000000000004,0.9964061134768937,0.0056066736578941345,16,89
19,19,0.10859999999998804,181,16.9,0.9962068322541984,0.004981890320777893,13,90
20,20,0.11159999999998771,186,15.200000000000001,0.9960075908877476,0.004317490383982658,9,93
21,21,0.11459999999998738,191,14.200000000000001,0.9958083893695701,0.004937018733471632,7,93
22,22,0.11039999999998784,184,14.500000000000004,0.9956092276916961,0.006021410226821899,7,96
23,23,0.14099999999998447,235,15.600000000000001,0.9954101058461579,0.0050398074090480804,15,67
24,24,0.13379999999998526,223,11.700000000000003,0.9952110238249886,0.0047884066589176655,7,68
25,25,0.11519999999998731,192,13.800000000000002,0.9950119816202236,0.003766086418181658,6,94
26,26,0.11639999999998718,194,16.200000000000003,0.9948129792238997,0.004808805882930756,11,93
27,27,0.13379999999998526,223,16.200000000000003,0.9946140166280549,0.0031656711362302303,13,83
28,28,0.12359999999998639,206,16.7,0.9944150938247294,0.004109014756977558,15,78
29,29,0.11699999999998711,195,14.100000000000001,0.9942162108059645,0.00517842173576355,8,87
30,30,0.11459999999998738,191,17.400000000000002,0.9940173675638033,0.003974872641265392,14,90
31,31,0.12599999999998612,210,14.000000000000002,0.9938185640902906,0.004953292198479176,8,86
32,32,0.11459999999998782,191,16.200000000000003,0.9936198003774726,0.004663691855967045,12,88
33,33,0.11820000000007447,197,16.8,0.9934210764173971,0.004907733295112848,12,94
34,34,0.11400000000007182,190,13.8,0.9932223922021136,0.00508028082549572,7,89
35,35,0.11760000000007409,196,15.800000000000002,0.9930237477236732,0.003719089087098837,12,84
36,36,0.11040000000006955,184,20.1,0.9928251429741285,0.0038462108932435513,18,97
37,37,0.12780000000008052,213,14.700000000000003,0.9926265779455337,0.003908701241016388,9,88
38,38,0.125400000000079,209,15.800000000000004,0.9924280526299446,0.005077066365629435,14,74
39,39,0.11880000000007485,198,16.400000000000002,0.9922295670194187,0.004876360297203064,13,85
40,40,0.12660000000007976,211,15.000000000000004,0.9920311211060148,0.005136174149811268,12,76
41,41,0.11040000000006955,184,14.900000000000002,0.9918327148817936,0.004180080723017454,8,95
42,42,0.098400000000062,164,16.6,0.9916343483388173,0.003807344473898411,11,97
43,43,0.11100000000006993,185,13.600000000000001,0.9914360214691496,0.0035993498750030994,7,87
44,44,0.12360000000007787,206,18.7,0.9912377342648557,0.005114271305501461,16,93
45,45,0.125400000000079,209,16.6,0.9910394867180028,0.004281625151634216,13,87
