,Episode,Duration,Slots,Score,Epsilon,min_loss,c&c,audio,video,be
0,0,0.20699999999999907,345,-240.4,0.99975,34.37696838378906,11,2,1,62
1,1,0.20879999999999632,348,-222.60000000000002,0.9995000625,19.513914108276367,12,3,1,53
2,2,0.2052000000000076,342,-257.95000000000005,0.999250187484375,21.736125946044922,9,0,1,69
3,3,0.2070000000000155,345,-239.70000000000002,0.9990003749375039,19.254451751708984,17,3,1,56
4,4,0.20880000000000876,348,-235.80000000000004,0.9987506248437695,10.527085304260254,11,0,1,68
5,5,0.2069999999999772,345,-254.55,0.9985009371875586,16.18568229675293,15,3,1,50
6,6,0.2105999999999768,351,-242.05,0.9982513119532618,16.586589813232422,12,5,1,53
7,7,0.2069999999999772,345,-242.60000000000002,0.9980017491252735,13.490896224975586,10,3,1,51
8,8,0.208799999999977,348,-235.40000000000003,0.9977522486879922,7.523292064666748,15,4,1,54
9,9,0.20879999999997723,348,-240.34999999999997,0.9975028106258202,9.521549224853516,12,2,1,58
10,10,0.2069999999999772,345,-270.40000000000003,0.9972534349231639,10.041244506835938,9,1,1,59
11,11,0.208799999999977,348,-255.4,0.9970041215644331,7.244304656982422,11,3,1,52
12,12,0.208799999999977,348,-246.45,0.996754870534042,7.883245944976807,12,3,1,45
13,13,0.2051999999999774,342,-262.40000000000003,0.9965056818164085,7.182440757751465,12,4,1,55
14,14,0.208799999999977,348,-247.15,0.9962565553959545,6.016204357147217,14,2,1,44
15,15,0.2069999999999772,345,-241.30000000000004,0.9960074912571055,4.865696907043457,12,3,1,57
16,16,0.208799999999977,348,-241.20000000000005,0.9957584893842912,8.370461463928223,14,4,1,54
17,17,0.208799999999977,348,-226.8,0.9955095497619452,5.890128135681152,12,1,1,56
18,18,0.2105999999999768,351,-232.3,0.9952606723745047,6.967348098754883,8,5,1,52
19,19,0.20700000000009533,345,-231.35000000000002,0.995011857206411,3.3467812538146973,13,2,1,64
20,20,0.20880000000013155,348,-232.35000000000002,0.9947631042421095,5.28354549407959,9,2,1,52
21,21,0.20880000000013155,348,-233.65000000000003,0.994514413466049,5.047320365905762,11,1,1,59
22,22,0.20880000000013155,348,-245.55,0.9942657848626825,5.060152053833008,11,1,1,69
23,23,0.2070000000001304,345,-224.9,0.9940172184164668,3.1002230644226074,13,5,1,61
24,24,0.21060000000013268,351,-214.00000000000003,0.9937687141118627,3.7164840698242188,11,2,1,55
25,25,0.20520000000012928,342,-231.54999999999998,0.9935202719333348,3.8860814571380615,17,4,1,54
26,26,0.2070000000001304,345,-252.95,0.9932718918653515,3.2688775062561035,10,2,1,59
27,27,0.20880000000013155,348,-230.25,0.9930235738923852,3.9568004608154297,13,0,1,65
28,28,0.2070000000001304,345,-219.3,0.992775317998912,3.481835126876831,12,5,1,53
29,29,0.2070000000001304,345,-251.55,0.9925271241694124,3.804159164428711,17,4,1,39
30,30,0.2070000000001304,345,-228.75000000000003,0.99227899238837,3.5061299800872803,11,4,1,55
31,31,0.20520000000012928,342,-269.1,0.9920309226402729,2.754152297973633,9,3,1,54
32,32,0.2070000000001304,345,-239.8,0.9917829149096129,3.442687749862671,16,2,1,49
33,33,0.2070000000001304,345,-237.95,0.9915349691808856,2.7765254974365234,14,2,1,60
34,34,0.20880000000013155,348,-249.4,0.9912870854385903,2.5545902252197266,12,3,1,59
35,35,0.20880000000013155,348,-262.30000000000007,0.9910392636672307,2.3014779090881348,8,2,1,57
36,36,0.2070000000001304,345,-221.45,0.990791503851314,1.782990574836731,13,5,1,65
37,37,0.20880000000013155,348,-283.6,0.9905438059753512,2.3429808616638184,9,1,1,41
38,38,0.2070000000001304,345,-285.8,0.9902961700238574,2.084811210632324,12,2,0,57
39,39,0.20520000000012928,342,-255.15,0.9900485959813514,1.9630123376846313,15,2,1,54
40,40,0.20880000000013155,348,-247.3,0.9898010838323561,1.8172359466552734,17,3,1,45
41,41,0.20880000000013155,348,-238.35,0.989553633561398,1.5870461463928223,14,4,1,58
42,42,0.21060000000013268,351,-236.3,0.9893062451530077,2.009331226348877,11,3,1,49
43,43,0.20880000000013155,348,-249.80000000000004,0.9890589185917195,1.4671443700790405,13,4,1,50
44,44,0.20880000000013155,348,-250.15000000000003,0.9888116538620716,1.3159359693527222,14,3,1,44
45,45,0.2070000000001304,345,-240.8,0.9885644509486061,1.6093902587890625,13,2,1,64
46,46,0.20880000000013155,348,-257.90000000000003,0.988317309835869,1.622975468635559,10,2,1,51
47,47,0.20520000000012928,342,-264.0,0.98807023050841,1.4160575866699219,19,2,1,51
48,48,0.2070000000001304,345,-229.00000000000003,0.9878232129507829,1.421769380569458,10,2,1,66
49,49,0.2070000000001304,345,-244.10000000000002,0.9875762571475453,1.2240443229675293,16,4,1,57
50,50,0.2070000000001304,345,-233.95000000000002,0.9873293630832584,1.2049607038497925,14,4,1,60
51,51,0.2070000000001304,345,-223.4,0.9870825307424875,0.9206015467643738,12,3,1,44
52,52,0.2070000000001304,345,-250.05,0.9868357601098019,1.0570050477981567,13,1,1,62
53,53,0.2070000000001304,345,-280.1,0.9865890511697745,1.1257362365722656,12,1,1,57
54,54,0.2070000000001304,345,-276.15000000000003,0.986342403906982,1.0008642673492432,10,0,1,47
55,55,0.20880000000013155,348,-258.65000000000003,0.9860958183060053,1.2099201679229736,7,2,1,69
56,56,0.2070000000001304,345,-256.7,0.9858492943514289,0.9228749871253967,10,2,1,55
57,57,0.21060000000013268,351,-246.39999999999998,0.985602832027841,1.0794402360916138,13,0,1,61
58,58,0.2070000000001304,345,-246.25,0.9853564313198341,1.000929832458496,15,3,1,52
59,59,0.20520000000012928,342,-238.25000000000003,0.9851100922120042,0.741302490234375,16,4,1,51
60,60,0.2070000000001304,345,-236.15,0.9848638146889512,1.0409847497940063,12,2,1,63
61,61,0.2070000000001304,345,-227.6,0.984617598735279,0.9088023900985718,13,2,1,63
62,62,0.20880000000013155,348,-253.35000000000002,0.9843714443355952,0.9269047975540161,13,1,1,67
63,63,0.2070000000001304,345,-245.75000000000003,0.9841253514745113,0.8244621157646179,13,2,1,57
64,64,0.20880000000013155,348,-250.75,0.9838793201366427,0.589606523513794,12,4,1,61
65,65,0.21240000000013382,354,-232.3,0.9836333503066086,0.8831386566162109,12,2,1,54
66,66,0.20520000000012928,342,-256.3,0.9833874419690319,0.7557709217071533,12,3,1,55
67,67,0.21060000000013268,351,-265.90000000000003,0.9831415951085397,0.7313762903213501,8,3,1,55
68,68,0.20880000000013155,348,-223.15000000000003,0.9828958097097626,0.6277175545692444,15,4,1,57
69,69,0.20880000000013155,348,-265.70000000000005,0.9826500857573353,0.6334909200668335,14,2,1,54
70,70,0.2070000000001304,345,-228.95000000000002,0.9824044232358959,0.561825156211853,10,1,1,63
71,71,0.20880000000013155,348,-261.05,0.982158822130087,0.6362515687942505,8,2,1,58
