,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
0,0,0.12399999999999947,310,-53.49999999999999,0.997,0.03552182391285896,,"[2, 5, 4, 8]"
1,1,0.1160000000000033,290,-51.199999999999996,0.994009,0.02213387005031109,,"[5, 4, 4, 4]"
2,2,0.11200000000000321,280,-44.8,0.991026973,0.018767155706882477,,"[5, 5, 4, 6]"
3,3,0.11600000000000332,290,-59.900000000000006,0.988053892081,0.02171383798122406,,"[3, 3, 4, 17]"
4,4,0.1119999999999921,280,-42.1,0.985089730404757,0.021421974524855614,,"[7, 4, 4, 9]"
5,5,0.12399999999998634,310,-58.7,0.9821344612135428,0.020915810018777847,,"[3, 5, 4, 6]"
6,6,0.11999999999998678,300,-43.2,0.9791880578299021,0.024348139762878418,,"[5, 3, 4, 5]"
7,7,0.11999999999998678,300,-55.3,0.9762504936564125,0.02340860478579998,,"[3, 3, 4, 4]"
8,8,0.11599999999998722,290,-39.8,0.9733217421754432,0.02095669135451317,,"[4, 3, 4, 7]"
9,9,0.11599999999998722,290,-47.099999999999994,0.9704017769489168,0.019858621060848236,,"[2, 4, 4, 9]"
10,10,0.1079999999999881,270,-42.8,0.9674905716180701,0.01914077438414097,,"[5, 7, 4, 14]"
11,11,0.11599999999998722,290,-54.699999999999996,0.9645880999032158,0.0217299647629261,,"[4, 5, 4, 10]"
12,12,0.11999999999998678,300,-43.199999999999996,0.9616943356035061,0.019602656364440918,,"[7, 3, 4, 6]"
13,13,0.11599999999998722,290,-38.900000000000006,0.9588092525966956,0.018841668963432312,,"[6, 6, 4, 6]"
14,14,0.11199999999998766,280,-51.3,0.9559328248389055,0.023105431348085403,,"[2, 7, 4, 10]"
15,15,0.11199999999998766,280,-59.599999999999994,0.9530650263643888,0.022103141993284225,,"[1, 2, 4, 6]"
16,16,0.11599999999998722,290,-61.5,0.9502058312852957,0.021411549299955368,,"[2, 5, 4, 8]"
17,17,0.11199999999998766,280,-44.199999999999996,0.9473552137914398,0.018972136080265045,,"[4, 2, 4, 9]"
18,18,0.11199999999998766,280,-37.6,0.9445131481500655,0.02075147069990635,,"[5, 5, 4, 7]"
19,19,0.11199999999998766,280,-33.8,0.9416796087056153,0.02104383334517479,,"[5, 4, 4, 9]"
20,20,0.11599999999998722,290,-38.0,0.9388545698794984,0.01829313486814499,,"[10, 3, 4, 11]"
21,21,0.11199999999998766,280,-44.0,0.93603800616986,0.015686597675085068,,"[5, 4, 4, 13]"
22,22,0.11599999999998722,290,-43.4,0.9332298921513504,0.01622965559363365,,"[4, 5, 4, 6]"
23,23,0.1079999999999881,270,-40.4,0.9304302024748964,0.018505971878767014,,"[6, 1, 4, 7]"
24,24,0.11199999999998766,280,-38.8,0.9276389118674717,0.016376057639718056,,"[3, 4, 4, 6]"
25,25,0.11599999999998722,290,-36.099999999999994,0.9248559951318693,0.018471326678991318,,"[7, 8, 4, 10]"
26,26,0.11199999999998766,280,-44.699999999999996,0.9220814271464737,0.01710904762148857,,"[3, 3, 4, 16]"
27,27,0.11999999999998678,300,-50.5,0.9193151828650342,0.014853701926767826,,"[3, 4, 4, 7]"
28,28,0.11599999999998722,290,-35.0,0.9165572373164391,0.014910026453435421,,"[3, 4, 4, 10]"
29,29,0.11599999999998722,290,-38.7,0.9138075656044898,0.015202123671770096,,"[5, 6, 4, 5]"
30,30,0.11599999999998722,290,-29.099999999999998,0.9110661429076764,0.015866288915276527,,"[7, 5, 4, 6]"
31,31,0.11999999999998678,300,-39.8,0.9083329444789534,0.01409925613552332,,"[3, 3, 4, 6]"
32,32,0.11199999999998766,280,-37.8,0.9056079456455165,0.014699842780828476,,"[5, 4, 4, 5]"
33,33,0.12399999999998634,310,-44.0,0.90289112180858,0.014800280332565308,,"[4, 4, 4, 12]"
34,34,0.10799999999998855,270,-49.5,0.9001824484431542,0.015187982469797134,,"[2, 2, 4, 5]"
35,35,0.11599999999998722,290,-38.699999999999996,0.8974819010978248,0.013317439705133438,,"[3, 4, 4, 6]"
36,36,0.11599999999998722,290,-35.900000000000006,0.8947894553945313,0.013587909750640392,,"[4, 3, 4, 12]"
37,37,0.11199999999998766,280,-46.1,0.8921050870283477,0.013045033439993858,,"[4, 4, 4, 7]"
38,38,0.11199999999998766,280,-37.2,0.8894287717672626,0.012914551421999931,,"[7, 2, 4, 7]"
39,39,0.11999999999998678,300,-36.6,0.8867604854519608,0.012959142215549946,,"[4, 4, 4, 6]"
40,40,0.11999999999998678,300,-32.699999999999996,0.884100203995605,0.013093579560518265,,"[8, 6, 4, 17]"
41,41,0.11599999999998722,290,-48.4,0.8814479033836181,0.014877395704388618,,"[4, 5, 4, 7]"
42,42,0.11999999999998678,300,-51.099999999999994,0.8788035596734672,0.01244933158159256,,"[3, 4, 4, 6]"
43,43,0.1079999999999881,270,-34.699999999999996,0.8761671489944468,0.013920526020228863,,"[6, 6, 4, 7]"
44,44,0.11199999999998766,280,-39.0,0.8735386475474635,0.013188762590289116,,"[9, 7, 4, 11]"
45,45,0.11199999999998766,280,-37.4,0.8709180316048211,0.012870842590928078,,"[4, 2, 4, 6]"
46,46,0.11599999999998722,290,-42.4,0.8683052775100066,0.013314425945281982,,"[3, 5, 4, 9]"
47,47,0.11199999999998766,280,-36.9,0.8657003616774767,0.014953491277992725,,"[3, 6, 4, 6]"
48,48,0.1079999999999881,270,-29.099999999999998,0.8631032605924442,0.010023470968008041,,"[7, 1, 4, 7]"
49,49,0.11199999999998766,280,-36.3,0.860513950810667,0.013576051220297813,,"[6, 6, 4, 6]"
50,50,0.1079999999999881,270,-36.4,0.857932408958235,0.013906970620155334,,"[5, 2, 4, 5]"
51,51,0.11599999999998722,290,-47.89999999999999,0.8553586117313603,0.012035789899528027,,"[4, 5, 4, 6]"
52,52,0.1079999999999881,270,-39.0,0.8527925358961662,0.012888649478554726,,"[6, 1, 4, 7]"
53,53,0.11599999999998722,290,-37.699999999999996,0.8502341582884777,0.010337155312299728,,"[10, 5, 4, 6]"
54,54,0.11599999999998722,290,-30.700000000000003,0.8476834558136123,0.012180199846625328,,"[9, 5, 4, 11]"
55,55,0.11199999999998766,280,-41.2,0.8451404054461714,0.013008834794163704,,"[2, 6, 4, 12]"
56,56,0.11199999999998766,280,-31.699999999999996,0.8426049842298329,0.012265808880329132,,"[4, 5, 4, 10]"
57,57,0.1079999999999881,270,-34.599999999999994,0.8400771692771434,0.012915385887026787,,"[8, 3, 4, 6]"
58,58,0.11999999999998678,300,-46.2,0.837556937769312,0.011989693157374859,,"[3, 3, 4, 4]"
59,59,0.11599999999998722,290,-30.4,0.835044266956004,0.01105816476047039,,"[3, 4, 4, 4]"
60,60,0.12399999999998634,310,-50.7,0.8325391341551359,0.011676331982016563,,"[2, 5, 4, 7]"
61,61,0.11199999999998766,280,-30.200000000000003,0.8300415167526705,0.009962579235434532,,"[6, 3, 4, 9]"
62,62,0.11199999999998766,280,-39.0,0.8275513922024125,0.009062285535037518,,"[6, 4, 4, 13]"
63,63,0.11599999999998722,290,-28.9,0.8250687380258053,0.011384457349777222,,"[9, 3, 4, 5]"
64,64,0.11199999999998766,280,-39.6,0.8225935318117279,0.010928157716989517,,"[7, 4, 4, 8]"
65,65,0.11599999999998722,290,-41.699999999999996,0.8201257512162927,0.012747966684401035,,"[5, 4, 4, 9]"
66,66,0.11199999999998766,280,-44.0,0.8176653739626438,0.010850146412849426,,"[5, 5, 4, 10]"
67,67,0.11599999999998722,290,-38.1,0.8152123778407558,0.011595504358410835,,"[8, 1, 4, 4]"
68,68,0.11599999999998722,290,-31.700000000000003,0.8127667407072335,0.012513091787695885,,"[10, 3, 4, 14]"
69,69,0.11200000000004984,280,-31.599999999999998,0.8103284404851119,0.011833714321255684,,"[8, 3, 4, 13]"
70,70,0.11200000000023635,280,-45.1,0.8078974551636565,0.011682000011205673,,"[4, 3, 4, 12]"
71,71,0.10800000000022791,270,-36.8,0.8054737627981655,0.012265871278941631,,"[8, 3, 4, 11]"
72,72,0.1160000000002448,290,-37.0,0.803057341509771,0.01170382834970951,,"[11, 3, 4, 12]"
73,73,0.1160000000002448,290,-64.1,0.8006481694852418,0.010132091119885445,,"[2, 4, 4, 13]"
74,74,0.11200000000023635,280,-46.8,0.798246224976786,0.011482403613626957,,"[4, 3, 4, 7]"
75,75,0.10800000000022791,270,-34.900000000000006,0.7958514863018556,0.011709723621606827,,"[7, 5, 4, 11]"
76,76,0.11200000000023635,280,-50.3,0.79346393184295,0.01295868493616581,,"[3, 3, 4, 13]"
77,77,0.10800000000022791,270,-42.599999999999994,0.7910835400474212,0.011879666708409786,,"[5, 4, 4, 8]"
