,Episode,Duration,Slots,Score,Epsilon,min_loss,c&c,audio,video
0,0,0.20879999999999904,348,-130.20000000000002,0.9998,1.6561830043792725,1,0,1
1,1,0.20699999999999635,345,-184.0,0.99960004,3.738027811050415,2,2,1
2,2,0.20880000000000787,348,-160.4,0.9994001199920001,4.036788463592529,0,0,1
3,3,0.21420000000001604,357,-119.8,0.9992002399680017,4.290625095367432,1,0,1
4,4,0.20880000000000676,348,-201.1,0.9990003999200081,4.391798973083496,1,2,0
5,5,0.2069999999999772,345,-146.7,0.9988005998400241,4.749053955078125,2,2,1
6,6,0.208799999999977,348,-165.4,0.9986008397200561,4.223210334777832,2,2,1
7,7,0.2123999999999766,354,-174.70000000000002,0.9984011195521121,4.769922256469727,3,2,0
8,8,0.2069999999999772,345,-137.10000000000002,0.9982014393282017,4.249840259552002,2,1,1
9,9,0.20699999999997742,345,-130.8,0.9980017990403361,3.8519234657287598,1,1,1
10,10,0.208799999999977,348,-132.4,0.9978021986805281,4.2623701095581055,6,1,1
11,11,0.208799999999977,348,-136.70000000000002,0.997602638240792,4.154196262359619,4,1,1
12,12,0.22499999999997522,375,-201.29999999999998,0.9974031177131438,3.5191047191619873,2,0,0
13,13,0.2141999999999764,357,-110.1,0.9972036370896012,3.495654582977295,3,1,1
14,14,0.2069999999999772,345,-131.20000000000002,0.9970041963621834,3.545419692993164,0,0,1
15,15,0.2069999999999772,345,-157.6,0.996804795522911,4.403440475463867,0,0,1
16,16,0.208799999999977,348,-134.4,0.9966054345638065,4.014910697937012,1,3,1
17,17,0.208799999999977,348,-142.4,0.9964061134768937,4.056674003601074,3,0,1
18,18,0.2069999999999772,345,-140.70000000000002,0.9962068322541984,3.518615961074829,1,2,1
19,19,0.2070000000001193,345,-153.2,0.9960075908877476,3.505636215209961,2,0,1
20,20,0.2070000000001304,345,-191.2,0.9958083893695701,3.7699127197265625,3,1,0
21,21,0.2070000000001304,345,-161.10000000000002,0.9956092276916961,3.6576902866363525,2,0,1
22,22,0.2070000000001304,345,-145.7,0.9954101058461579,4.15401029586792,1,2,1
23,23,0.2070000000001304,345,-164.29999999999998,0.9952110238249886,4.138104438781738,3,2,1
24,24,0.21060000000013268,351,-128.0,0.9950119816202236,4.061347484588623,2,1,1
25,25,0.20880000000013155,348,-133.8,0.9948129792238997,4.2283244132995605,2,1,1
26,26,0.21060000000013268,351,-146.6,0.9946140166280549,4.057466506958008,0,0,1
27,27,0.21060000000013268,351,-160.70000000000002,0.9944150938247294,3.7095494270324707,3,0,1
28,28,0.2070000000001304,345,-160.2,0.9942162108059645,3.6187915802001953,0,0,1
29,29,0.20520000000012928,342,-145.79999999999998,0.9940173675638033,4.140007495880127,2,0,1
30,30,0.2070000000001304,345,-138.39999999999998,0.9938185640902906,4.009770393371582,3,1,1
31,31,0.20880000000013155,348,-180.9,0.9936198003774726,3.773653030395508,2,2,0
32,32,0.2070000000001304,345,-115.4,0.9934210764173971,4.319307327270508,2,1,1
33,33,0.21240000000013382,354,-126.80000000000001,0.9932223922021136,3.812743663787842,3,2,1
34,34,0.21060000000013268,351,-146.7,0.9930237477236732,4.055684566497803,3,3,1
35,35,0.2070000000001304,345,-172.3,0.9928251429741285,4.158949851989746,2,2,0
36,36,0.2070000000001304,345,-140.0,0.9926265779455337,3.6691813468933105,3,1,1
37,37,0.21060000000013268,351,-143.5,0.9924280526299446,4.262667179107666,1,1,1
38,38,0.2070000000001304,345,-146.5,0.9922295670194187,3.549633264541626,1,1,1
39,39,0.2070000000001304,345,-135.6,0.9920311211060148,3.8075265884399414,1,1,1
40,40,0.2070000000001304,345,-140.40000000000003,0.9918327148817936,4.024620056152344,4,1,1
41,41,0.20880000000013155,348,-180.0,0.9916343483388173,4.067005157470703,3,1,1
42,42,0.21060000000013268,351,-171.5,0.9914360214691496,4.1531829833984375,0,1,1
43,43,0.20880000000013155,348,-176.5,0.9912377342648557,4.1348114013671875,1,1,1
44,44,0.21240000000013382,354,-190.8,0.9910394867180028,3.6924142837524414,2,0,0
45,45,0.2070000000001304,345,-136.4,0.9908412788206592,3.850419521331787,5,1,1
46,46,0.20880000000013155,348,-140.7,0.9906431105648951,3.6920125484466553,0,1,1
47,47,0.21060000000013268,351,-117.80000000000001,0.9904449819427821,4.252899169921875,1,0,1
48,48,0.2070000000001304,345,-173.09999999999997,0.9902468929463936,4.409579277038574,2,1,0
49,49,0.20880000000013155,348,-115.2,0.9900488435678043,3.9503445625305176,2,3,1
