,Episode,Duration,Slots,Score,Epsilon,min_loss,success_rate
0,0,0.20879999999999904,348,-568.9,0.998,99999,"[2, 6, 0, 20]"
1,1,0.21239999999999626,354,-605.8,0.996004,339883.65625,"[6, 2, 1, 20]"
2,2,0.2106000000000085,351,-496.09999999999997,0.994011992,220404.34375,"[10, 3, 1, 20]"
3,3,0.21060000000001577,351,-627.4,0.992023968016,296934.25,"[5, 2, 1, 20]"
4,4,0.2106000000000059,351,-517.7,0.990039920079968,249882.53125,"[7, 2, 1, 20]"
5,5,0.208799999999977,348,-655.2,0.9880598402398081,213206.5,"[4, 3, 1, 20]"
6,6,0.2051999999999774,342,-536.7,0.9860837205593285,133362.71875,"[4, 1, 1, 20]"
7,7,0.208799999999977,348,-576.2,0.9841115531182099,109292.390625,"[6, 2, 1, 20]"
8,8,0.2105999999999768,351,-597.1,0.9821433300119734,138312.84375,"[6, 4, 1, 20]"
9,9,0.20699999999997742,345,-581.5,0.9801790433519495,163072.96875,"[5, 5, 1, 20]"
10,10,0.208799999999977,348,-558.2,0.9782186852652456,131351.875,"[7, 2, 1, 20]"
11,11,0.208799999999977,348,-598.5999999999999,0.976262247894715,137523.59375,"[3, 1, 1, 20]"
12,12,0.2069999999999772,345,-532.1999999999999,0.9743097233989256,144523.75,"[2, 4, 1, 20]"
13,13,0.208799999999977,348,-588.5999999999999,0.9723611039521278,100886.625,"[4, 3, 0, 20]"
14,14,0.208799999999977,348,-567.5,0.9704163817442236,92774.953125,"[5, 4, 1, 20]"
15,15,0.2123999999999766,354,-593.5,0.9684755489807352,122873.25,"[2, 2, 1, 20]"
16,16,0.208799999999977,348,-566.0,0.9665385978827737,92354.390625,"[6, 5, 1, 20]"
17,17,0.2105999999999768,351,-634.5,0.9646055206870082,107969.7890625,"[5, 3, 1, 20]"
18,18,0.208799999999977,348,-611.1999999999999,0.9626763096456342,90980.28125,"[2, 3, 1, 20]"
19,19,0.21240000000011605,354,-598.8,0.9607509570263429,84573.53125,"[3, 1, 0, 20]"
20,20,0.20880000000013155,348,-519.6,0.9588294551122902,95046.0234375,"[2, 3, 1, 20]"
21,21,0.21060000000013268,351,-630.8,0.9569117962020657,92223.7578125,"[5, 1, 0, 20]"
22,22,0.2070000000001304,345,-553.8,0.9549979726096616,60511.59765625,"[5, 2, 0, 20]"
23,23,0.20880000000013155,348,-590.8,0.9530879766644422,57944.83203125,"[7, 0, 1, 20]"
24,24,0.21420000000013495,357,-607.0,0.9511818007111134,40086.96484375,"[3, 2, 0, 20]"
25,25,0.2070000000001304,345,-593.0,0.9492794371096911,53985.234375,"[2, 4, 1, 20]"
26,26,0.21060000000013268,351,-590.5999999999999,0.9473808782354717,40479.21875,"[5, 4, 1, 20]"
27,27,0.21240000000013382,354,-574.7,0.9454861164790007,55833.09765625,"[7, 3, 1, 20]"
28,28,0.2070000000001304,345,-541.5999999999999,0.9435951442460427,48421.140625,"[4, 4, 0, 20]"
29,29,0.20880000000013155,348,-534.2,0.9417079539575507,46975.99609375,"[6, 1, 1, 20]"
30,30,0.20880000000013155,348,-564.2,0.9398245380496356,56923.5703125,"[3, 1, 1, 20]"
31,31,0.20880000000013155,348,-619.0,0.9379448889735363,50764.67578125,"[3, 1, 0, 20]"
32,32,0.2070000000001304,345,-603.3000000000001,0.9360689991955893,45721.9140625,"[8, 1, 1, 20]"
33,33,0.2070000000001304,345,-582.8,0.9341968611971981,36008.671875,"[3, 2, 0, 20]"
34,34,0.2070000000001304,345,-605.6,0.9323284674748037,38516.01171875,"[6, 3, 1, 20]"
35,35,0.2070000000001304,345,-577.6,0.930463810539854,28296.7890625,"[5, 2, 1, 20]"
36,36,0.2070000000001304,345,-576.2,0.9286028829187744,44122.57421875,"[4, 3, 1, 20]"
37,37,0.2070000000001304,345,-587.0,0.9267456771529368,39842.19921875,"[5, 1, 1, 20]"
38,38,0.21060000000013268,351,-608.0999999999999,0.9248921857986309,34686.30078125,"[4, 2, 0, 20]"
39,39,0.2070000000001304,345,-666.9,0.9230424014270336,27883.095703125,"[3, 4, 1, 20]"
40,40,0.21240000000013382,354,-645.1,0.9211963166241796,28750.873046875,"[4, 3, 0, 20]"
41,41,0.20880000000013155,348,-599.9,0.9193539239909312,22796.51953125,"[5, 1, 1, 20]"
42,42,0.21060000000013268,351,-637.6,0.9175152161429493,33683.51953125,"[2, 1, 1, 20]"
43,43,0.2070000000001304,345,-552.6,0.9156801857106633,30070.880859375,"[3, 2, 1, 20]"
