,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
0,0,0.1199999999999995,300,-101.4,0.998,0.15828411281108856,,"[5, 4, 4, 37]"
1,1,0.10400000000000281,260,-88.1,0.996004,0.10758529603481293,,"[13, 5, 4, 31]"
2,2,0.1080000000000031,270,-105.1,0.994011992,0.0992852970957756,,"[11, 3, 4, 37]"
3,3,0.12400000000000355,310,-105.0,0.992023968016,0.08150158822536469,,"[9, 5, 4, 31]"
4,4,0.11599999999999333,290,-103.3,0.990039920079968,0.08483407646417618,,"[6, 6, 4, 27]"
5,5,0.11199999999998766,280,-129.4,0.9880598402398081,0.06724591553211212,,"[6, 5, 4, 34]"
6,6,0.11599999999998722,290,-98.3,0.9860837205593285,0.09921678900718689,,"[10, 6, 4, 35]"
7,7,0.11199999999998766,280,-101.7,0.9841115531182099,0.086546391248703,,"[9, 5, 4, 24]"
8,8,0.11199999999998766,280,-89.8,0.9821433300119734,0.08087144047021866,,"[10, 6, 4, 29]"
9,9,0.1079999999999881,270,-106.2,0.9801790433519495,0.0770781934261322,,"[4, 8, 4, 29]"
10,10,0.11599999999998722,290,-126.30000000000001,0.9782186852652456,0.08230167627334595,,"[3, 6, 4, 28]"
11,11,0.11199999999998766,280,-112.6,0.976262247894715,0.08054392784833908,,"[5, 5, 4, 30]"
12,12,0.1079999999999881,270,-112.0,0.9743097233989256,0.06937283277511597,,"[5, 3, 4, 25]"
13,13,0.11999999999998678,300,-89.9,0.9723611039521278,0.05912098288536072,,"[7, 6, 4, 27]"
14,14,0.1079999999999881,270,-136.3,0.9704163817442236,0.05326937139034271,,"[2, 5, 4, 40]"
15,15,0.11599999999998722,290,-96.6,0.9684755489807352,0.06502146273851395,,"[8, 7, 4, 39]"
16,16,0.1079999999999881,270,-101.0,0.9665385978827737,0.06234494224190712,,"[7, 4, 4, 40]"
17,17,0.11599999999998722,290,-103.3,0.9646055206870082,0.0513826385140419,,"[7, 6, 4, 28]"
18,18,0.11199999999998766,280,-94.5,0.9626763096456342,0.07110586762428284,,"[9, 3, 4, 39]"
19,19,0.11599999999998722,290,-133.2,0.9607509570263429,0.05367182940244675,,"[3, 5, 4, 28]"
20,20,0.11199999999998766,280,-111.5,0.9588294551122902,0.060172419995069504,,"[10, 7, 4, 24]"
21,21,0.11599999999998722,290,-107.0,0.9569117962020657,0.059098392724990845,,"[5, 6, 4, 38]"
22,22,0.11199999999998766,280,-85.6,0.9549979726096616,0.05380530655384064,,"[7, 6, 4, 31]"
23,23,0.11599999999998722,290,-97.1,0.9530879766644422,0.05939171090722084,,"[9, 8, 4, 35]"
24,24,0.11599999999998722,290,-91.6,0.9511818007111134,0.05457403510808945,,"[8, 7, 4, 40]"
25,25,0.11599999999998722,290,-98.0,0.9492794371096911,0.05610189214348793,,"[9, 6, 4, 39]"
26,26,0.11199999999998766,280,-81.4,0.9473808782354717,0.05079715698957443,,"[7, 5, 4, 40]"
27,27,0.11599999999998722,290,-94.5,0.9454861164790007,0.04243171215057373,,"[10, 7, 4, 33]"
28,28,0.11199999999998766,280,-82.4,0.9435951442460427,0.05335467308759689,,"[12, 5, 4, 40]"
29,29,0.1079999999999881,270,-118.6,0.9417079539575507,0.040170811116695404,,"[3, 3, 4, 12]"
30,30,0.11199999999998766,280,-85.6,0.9398245380496356,0.04882456362247467,,"[4, 6, 4, 32]"
31,31,0.11199999999998766,280,-101.8,0.9379448889735363,0.0432911179959774,,"[10, 6, 4, 38]"
