,Episode,Duration,Slots,Score,Epsilon,min_loss,c&c,audio,video,be
0,0,1.4255999999999844,384,328.0,0.99995,99999,154,44,11,600
1,1,0.9971999999998904,102,118.0,0.9999000025,99999,72,29,7,500
2,2,1.2743999999998596,312,279.0,0.999850007499875,99999,116,35,9,600
3,3,1.6938000000008429,381,244.0,0.9998000149995,99999,156,30,9,600
4,4,1.4850000000009356,810,306.0,0.99975002499875,99999,138,38,11,600
5,5,2.5416000000016012,813,252.2,0.9997000374975,99999,201,45,11,476
6,6,1.2924000000008142,201,167.4,0.9996500524956251,99999,125,35,8,597
7,7,1.099800000000693,312,220.0,0.9996000699930003,99999,84,29,7,600
8,8,1.5138000000009537,675,234.2,0.9995500899895007,99999,164,45,11,576
9,9,1.3500000000008505,201,223.0,0.9995001124850013,99999,98,36,9,600
10,10,0.9900000000006237,225,297.0,0.999450137479377,99999,150,41,11,600
11,11,1.0709999999985005,219,212.0,0.9994001649725031,99999,123,40,10,500
12,12,1.5101999999964804,447,200.0,0.9993501949642545,99999,98,16,6,600
13,13,1.292399999996988,312,181.0,0.9993002274545063,99999,47,29,6,600
14,14,1.033199999997592,276,227.0,0.9992502624431336,99999,64,36,8,600
15,15,1.1645999999972858,384,286.0,0.9992002999300115,99999,120,38,9,600
16,16,1.780199999995851,414,277.4,0.999150339915015,99999,162,40,10,577
17,17,1.4183999999966943,810,134.6,0.9991003823980192,99999,118,30,8,498
18,18,1.3427999999968705,228,290.6,0.9990504273788994,99999,172,39,11,593
19,19,1.2761999999970257,270,224.0,0.9990004748575304,99999,136,35,9,600
20,20,1.2815999999970131,810,297.0,0.9989505248337875,99999,159,30,8,600
21,21,1.1519999999973152,444,171.0,0.9989005773075459,361.36663818359375,47,20,6,600
22,22,1.2761999999970257,168,242.0,0.9988506322786805,350.63824462890625,139,36,10,500
23,23,1.1195999999973907,813,146.0,0.9988006897470666,338.7283935546875,61,22,5,600
24,24,1.8971999999955784,681,292.0,0.9987507497125793,327.1363220214844,152,32,8,600
25,25,1.6667999999961154,312,200.2,0.9987008121750937,328.453125,85,39,10,591
26,26,1.153799999997311,324,178.0,0.9986508771344849,335.3179016113281,86,26,7,600
27,27,1.0475999999975585,312,215.0,0.9986009445906281,323.4263000488281,54,34,10,600
28,28,1.817999999995763,801,279.0,0.9985510145433986,315.6331481933594,133,38,9,600
29,29,2.0627999999951925,669,317.0,0.9985010869926714,332.32244873046875,208,48,11,500
30,30,1.4795999999965517,282,167.0,0.9984511619383217,330.5552062988281,68,15,4,600
31,31,1.5929999999962874,294,234.8,0.9984012393802248,308.0527038574219,121,36,9,599
32,32,1.0007999999976676,336,147.0,0.9983513193182558,317.5365295410156,29,32,8,500
33,33,1.7747999999958637,813,338.0,0.9983014017522899,333.61834716796875,164,44,11,600
34,34,1.4939999999965181,813,201.0,0.9982514866822023,338.3031921386719,116,27,9,600
35,35,1.2563999999970719,381,269.0,0.9982015741078683,319.7412109375,130,32,8,600
36,36,1.5353999999964216,519,160.0,0.9981516640291629,317.74407958984375,50,24,6,600
37,37,1.3031999999969628,327,206.0,0.9981017564459614,315.8367004394531,100,29,8,600
38,38,1.4831999999965433,813,216.0,0.9980518513581391,285.56085205078125,83,25,8,600
39,39,0.8243999999980787,288,245.0,0.9980019487655712,326.87933349609375,108,30,7,600
40,40,1.9169999999955323,102,271.0,0.9979520486681329,303.27557373046875,134,47,11,500
41,41,1.3697999999968076,102,247.6,0.9979021510656996,324.8324279785156,188,48,12,498
42,42,1.2023999999971977,402,193.0,0.9978522559581463,314.1114501953125,84,28,6,600
43,43,1.4885999999965307,222,269.0,0.9978023633453484,325.0802001953125,101,39,10,600
44,44,1.0349999999975878,228,286.0,0.9977524732271812,305.9073486328125,163,43,11,600
45,45,1.1087999999974159,207,153.0,0.9977025856035199,323.09228515625,35,16,4,600
46,46,1.3068000000111866,138,201.0,0.9976527004742397,297.73681640625,151,41,10,500
47,47,1.3734000000130635,312,156.0,0.997602817839216,310.32147216796875,88,30,8,600
48,48,1.0278000000097762,408,130.0,0.9975529376983241,340.0769958496094,59,17,6,500
49,49,1.8972000000180458,108,342.0,0.9975030600514392,339.6605529785156,230,48,12,500
50,50,1.2492000000118821,225,262.0,0.9974531848984366,321.65740966796875,126,28,9,600
51,51,1.4310000000136114,105,125.8,0.9974033122391917,291.02398681640625,149,46,11,299
52,52,1.1700000000111288,342,244.0,0.9973534420735797,339.0474548339844,124,40,10,600
53,53,1.558800000014827,378,308.0,0.997303574401476,305.274658203125,136,42,10,600
54,54,1.7046000000162138,375,221.0,0.9972537092227559,260.6611328125,122,31,9,600
55,55,1.411200000013423,414,226.0,0.9972038465372948,319.1653137207031,71,30,6,600
56,56,1.2366000000117623,810,214.0,0.9971539863449679,304.92144775390625,163,41,11,500
57,57,1.409400000013406,813,263.0,0.9971041286456507,290.9588928222656,98,36,11,600
58,58,1.218600000011591,201,284.0,0.9970542734392184,313.2693176269531,117,38,10,600
59,59,1.8198000000173096,810,183.0,0.9970044207255464,310.622314453125,135,39,10,500
60,60,1.1214000000106665,309,114.0,0.9969545705045101,320.36614990234375,128,36,8,600
61,61,1.3140000000124985,411,192.0,0.9969047227759849,268.6645812988281,67,20,5,600
62,62,0.9432000000089715,168,206.0,0.996854877539846,330.38055419921875,115,33,8,500
63,63,0.8370000000079614,207,270.0,0.996805034795969,307.3878173828125,188,40,10,600
64,64,0.9612000000091427,312,112.0,0.9967551945442292,331.6671447753906,42,17,4,600
65,65,1.589400000015118,171,367.0,0.996705356784502,292.4578857421875,195,42,10,600
66,66,1.7568000000167103,801,285.0,0.9966555215166628,288.7267150878906,142,34,9,600
67,67,0.9936000000094509,312,272.0,0.996605688740587,305.859619140625,169,41,10,600
68,68,0.8784000000083552,117,190.0,0.9965558584561499,307.2861633300781,138,39,10,500
69,69,1.6866000000160426,678,235.2,0.9965060306632271,296.80181884765625,118,40,9,596
70,70,1.382400000013149,228,265.6,0.9964562053616939,278.56585693359375,200,44,11,553
71,71,0.905400000008612,408,90.0,0.9964063825514258,306.7889404296875,80,16,4,500
