,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.12480000000000051,208,14.000000000000004,1,0.03800129145383835,16,70
1,1,0.12059999999999789,201,12.950000000000001,0.9997,0.034187205135822296,9,84
2,2,0.11759999999999793,196,11.9,0.9994000900000001,0.021885519847273827,6,84
3,3,0.12119999999999786,202,13.950000000000003,0.999100269973,0.018677672371268272,13,80
4,4,0.12240000000000772,204,16.0,0.9988005398920082,0.017601124942302704,16,90
5,5,0.11520000000000863,192,15.200000000000001,0.9985008997300406,0.018634075298905373,14,89
6,6,0.1350000000000101,225,15.250000000000002,0.9982013494601216,0.01669909618794918,13,93
7,7,0.12840000000000962,214,15.3,0.9979018890552837,0.017217934131622314,14,90
8,8,0.1313999999999882,219,12.950000000000001,0.9976025184885671,0.013315625488758087,9,84
9,9,0.10979999999998791,183,14.950000000000001,0.9973032377330205,0.016147878021001816,13,90
10,10,0.11579999999998725,193,15.200000000000003,0.9970040467617006,0.017631836235523224,14,89
11,11,0.11879999999998692,198,13.45,0.9967049455476722,0.01757466048002243,7,96
12,12,0.12179999999998659,203,14.950000000000003,0.9964059340640079,0.015965458005666733,13,90
13,13,0.1289999999999858,215,14.5,0.9961070122837887,0.016407296061515808,16,75
14,14,0.12179999999998659,203,14.450000000000003,0.9958081801801036,0.016212884336709976,15,78
15,15,0.12479999999998626,208,13.2,0.9955094377260496,0.01381581462919712,8,90
16,16,0.12659999999998628,211,12.000000000000002,0.9952107848947318,0.01372291799634695,8,78
17,17,0.13379999999998526,223,13.650000000000002,0.9949122216592634,0.017046047374606133,11,84
18,18,0.11399999999998744,190,14.8,0.9946137479927657,0.01349993608891964,14,85
19,19,0.11219999999998764,187,13.8,0.9943153638683679,0.014300385490059853,8,96
20,20,0.14099999999998447,235,14.550000000000002,0.9940170692592074,0.02269543521106243,17,72
21,21,0.12179999999998659,203,14.650000000000002,0.9937188641384297,0.020050443708896637,13,87
22,22,0.12359999999998639,206,13.200000000000001,0.9934207484791882,0.01638886332511902,8,90
23,23,0.11699999999998711,195,12.700000000000001,0.9931227222546445,0.019734393805265427,10,78
24,24,0.1253999999999862,209,15.300000000000002,0.9928247854379681,0.01957150548696518,14,90
25,25,0.11339999999998751,189,15.8,0.9925269380023368,0.018769923597574234,16,88
26,26,0.13019999999998566,217,16.150000000000006,0.9922291799209362,0.01729927584528923,19,81
27,27,0.12839999999998586,214,13.900000000000002,0.9919315111669599,0.01976354420185089,16,69
28,28,0.11339999999998751,189,12.9,0.9916339317136098,0.01682480052113533,10,80
29,29,0.11159999999998771,186,15.300000000000002,0.9913364415340957,0.017297465354204178,14,90
30,30,0.11159999999998771,186,13.5,0.9910390406016355,0.01711643487215042,10,86
31,31,0.1307999999999856,218,15.400000000000002,0.990741728889455,0.014156353659927845,18,77
32,32,0.1176000000000097,196,10.6,0.9904445063707882,0.013781536370515823,6,71
33,33,0.10560000000006653,176,14.600000000000001,0.990147373018877,0.023739926517009735,12,90
34,34,0.11580000000007296,193,16.0,0.9898503288069713,0.014012454077601433,16,90
35,35,0.11940000000007522,199,16.1,0.9895533737083293,0.02002091147005558,18,84
36,36,0.11760000000007409,196,15.05,0.9892565076962169,0.014376354403793812,15,84
37,37,0.12180000000007674,203,16.0,0.9889597307439081,0.015593779273331165,16,90
38,38,0.11100000000006993,185,12.8,0.988663042824685,0.018089577555656433,6,93
39,39,0.11160000000007031,186,14.100000000000001,0.9883664439118376,0.016806859523057938,10,92
