,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.13560000000000033,226,22.5,1,99.37181091308594,8,45
1,1,0.1589999999999972,265,21.900000000000006,0.9998,75.27843475341797,9,34
2,2,0.13979999999999754,233,20.1,0.99960004,75.18782043457031,3,46
3,3,0.13800000000000429,230,23.1,0.9994001199920001,48.14506530761719,11,36
4,4,0.14460000000001083,241,19.7,0.9992002399680017,40.64873504638672,3,42
5,5,0.1494000000000112,249,23.700000000000003,0.9990003999200081,30.63575553894043,12,37
6,6,0.1440000000000088,240,21.8,0.9988005998400241,22.97005271911621,6,48
7,7,0.15539999999998289,259,22.200000000000003,0.9986008397200561,17.86712646484375,7,47
8,8,0.14459999999998407,241,21.299999999999997,0.9984011195521121,14.051664352416992,7,38
9,9,0.14459999999998407,241,21.1,0.9982014393282017,11.388988494873047,4,51
10,10,0.13379999999998526,223,21.8,0.9980017990403361,9.23177433013916,6,48
11,11,0.13919999999998467,232,23.5,0.9978021986805281,8.86128044128418,10,45
12,12,0.15119999999998335,252,19.900000000000002,0.997602638240792,7.133850574493408,4,39
13,13,0.16139999999998245,269,20.8,0.9974031177131438,5.213651180267334,6,38
14,14,0.14459999999998407,241,24.700000000000003,0.9972036370896012,5.840897560119629,13,42
15,15,0.1469999999999838,245,21.299999999999997,0.9970041963621834,5.153642654418945,7,38
16,16,0.15539999999998289,259,19.3,0.996804795522911,3.696930408477783,3,38
17,17,0.15479999999998295,258,20.400000000000002,0.9966054345638065,3.933483123779297,4,44
18,18,0.13739999999998487,229,22.3,0.9964061134768937,4.5959248542785645,8,43
19,19,0.1625999999999821,271,27.100000000000005,0.9962068322541984,3.8145999908447266,18,41
20,20,0.1343999999999852,224,22.1,0.9960075908877476,3.8198862075805664,6,51
21,21,0.136199999999985,227,22.599999999999998,0.9958083893695701,3.777522087097168,8,46
22,22,0.14939999999998355,249,23.3,0.9956092276916961,4.096510410308838,11,38
23,23,0.14399999999998414,240,20.2,0.9954101058461579,3.7204642295837402,4,42
24,24,0.13559999999998507,226,22.200000000000003,0.9952110238249886,3.8873190879821777,7,47
25,25,0.14939999999998355,249,22.5,0.9950119816202236,3.650505781173706,8,45
26,26,0.15419999999998302,257,21.900000000000002,0.9948129792238997,3.052849769592285,8,39
27,27,0.1500000000000541,250,18.9,0.9946140166280549,3.0833168029785156,3,34
28,28,0.15240000000009601,254,21.700000000000003,0.9944150938247294,2.959022045135498,8,37
29,29,0.13500000000008505,225,22.900000000000002,0.9942162108059645,2.442645311355591,9,44
30,30,0.147600000000093,246,21.599999999999998,0.9940173675638033,2.5530686378479004,5,51
