,Episode,Duration,Slots,Score,Epsilon,min_loss,success_rate
0,0,0.20520000000000177,513,-359.5,0.998,0.0021267528645694256,"[20, 3, 60, 20]"
1,1,0.20520000000000588,513,-345.0,0.996004,0.0020026415586471558,"[23, 7, 60, 20]"
2,2,0.20519999999998983,513,-371.5,0.994011992,0.0015758560039103031,"[19, 4, 60, 20]"
3,3,0.208799999999977,522,-344.0,0.992023968016,0.0019887015223503113,"[22, 5, 60, 20]"
4,4,0.20639999999997727,516,-328.0,0.990039920079968,0.001424830057658255,"[24, 7, 60, 20]"
5,5,0.20639999999997727,516,-342.5,0.9880598402398081,0.0014729525428265333,"[26, 5, 60, 20]"
6,6,0.2051999999999774,513,-361.0,0.9860837205593285,0.0016314918175339699,"[24, 6, 60, 20]"
7,7,0.208799999999977,522,-366.5,0.9841115531182099,0.001476980745792389,"[21, 4, 60, 20]"
8,8,0.2051999999999774,513,-373.0,0.9821433300119734,0.0010669027687981725,"[22, 6, 60, 20]"
9,9,0.2051999999999774,513,-345.0,0.9801790433519495,0.001439051702618599,"[24, 8, 60, 20]"
10,10,0.20759999999997714,519,-368.0,0.9782186852652456,0.0013919048942625523,"[17, 5, 60, 20]"
11,11,0.2051999999999774,513,-356.0,0.976262247894715,0.0016548401908949018,"[21, 5, 60, 20]"
12,12,0.20639999999997727,516,-395.0,0.9743097233989256,0.0012116037542000413,"[20, 6, 60, 20]"
13,13,0.20639999999997727,516,-375.0,0.9723611039521278,0.0014850572915747762,"[22, 8, 60, 20]"
14,14,0.20639999999997727,516,-392.0,0.9704163817442236,0.0017242759931832552,"[17, 6, 60, 20]"
15,15,0.20639999999997727,516,-338.0,0.9684755489807352,0.0013858021702617407,"[24, 7, 60, 20]"
16,16,0.208799999999977,522,-404.0,0.9665385978827737,0.0019288327312096953,"[19, 5, 60, 20]"
17,17,0.208799999999977,522,-402.5,0.9646055206870082,0.0016668575117364526,"[19, 4, 60, 20]"
18,18,0.20759999999997714,519,-378.0,0.9626763096456342,0.0015500994632020593,"[16, 4, 60, 20]"
19,19,0.20879999999997745,522,-362.0,0.9607509570263429,0.0015527112409472466,"[19, 6, 60, 20]"
20,20,0.2051999999999774,513,-380.0,0.9588294551122902,0.0017557721585035324,"[19, 6, 60, 20]"
21,21,0.20759999999997714,519,-436.5,0.9569117962020657,0.0017240454908460379,"[15, 3, 60, 20]"
22,22,0.20639999999997727,516,-396.0,0.9549979726096616,0.0014709363458678126,"[21, 3, 60, 20]"
23,23,0.20639999999997727,516,-368.0,0.9530879766644422,0.001037070993334055,"[21, 4, 60, 20]"
24,24,0.20639999999997727,516,-379.0,0.9511818007111134,0.0015044682659208775,"[18, 5, 60, 20]"
25,25,0.20639999999997727,516,-389.0,0.9492794371096911,0.0018228241242468357,"[15, 8, 60, 20]"
26,26,0.2051999999999774,513,-393.0,0.9473808782354717,0.0012880521826446056,"[18, 5, 60, 20]"
27,27,0.20999999999997687,525,-407.0,0.9454861164790007,0.0016346641350537539,"[20, 6, 60, 20]"
28,28,0.2051999999999774,513,-378.5,0.9435951442460427,0.0017560437554493546,"[17, 4, 60, 20]"
29,29,0.20759999999997714,519,-387.0,0.9417079539575507,0.0018568160012364388,"[22, 7, 60, 20]"
30,30,0.2051999999999774,513,-378.0,0.9398245380496356,0.001998691353946924,"[18, 3, 60, 20]"
31,31,0.20639999999997727,516,-391.0,0.9379448889735363,0.001224978594109416,"[13, 5, 60, 20]"
32,32,0.20639999999997727,516,-372.0,0.9360689991955893,0.002175325760617852,"[19, 5, 60, 20]"
33,33,0.20639999999997727,516,-368.0,0.9341968611971981,0.001479048398323357,"[16, 6, 60, 20]"
34,34,0.20639999999997727,516,-411.0,0.9323284674748037,0.0015222096117213368,"[15, 4, 60, 20]"
35,35,0.2051999999999774,513,-390.5,0.930463810539854,0.0013720911229029298,"[17, 4, 60, 20]"
36,36,0.20639999999997727,516,-395.5,0.9286028829187744,0.0017240224406123161,"[17, 3, 60, 20]"
37,37,0.20759999999997714,519,-401.5,0.9267456771529368,0.0013800810556858778,"[18, 5, 60, 20]"
38,38,0.20760000000010592,519,-452.0,0.9248921857986309,0.0013272427022457123,"[15, 5, 60, 20]"
39,39,0.20640000000043557,516,-412.0,0.9230424014270336,0.0012793554924428463,"[13, 7, 60, 20]"
