,Episode,Duration,Slots,Score,Epsilon,min_loss,c&c,audio,video
0,0,0.2051999999999991,342,16.800000000000004,0.998,99999,6,0,0
1,1,0.2105999999999963,351,14.1,0.996004,447954.0625,3,1,1
2,2,0.20880000000000787,348,23.8,0.994011992,461846.65625,6,2,1
3,3,0.20880000000001564,348,27.4,0.992023968016,359260.375,5,4,1
4,4,0.20880000000000776,348,14.200000000000001,0.990039920079968,272809.90625,3,1,1
5,5,0.2105999999999768,351,29.5,0.9880598402398081,350535.625,4,5,1
6,6,0.208799999999977,348,10.400000000000002,0.9860837205593285,214480.84375,1,1,1
7,7,0.208799999999977,348,19.500000000000004,0.9841115531182099,329502.8125,2,3,1
8,8,0.2105999999999768,351,25.699999999999996,0.9821433300119734,280540.59375,6,3,0
9,9,0.20699999999997742,345,20.900000000000002,0.9801790433519495,265441.375,3,3,1
10,10,0.208799999999977,348,17.200000000000003,0.9782186852652456,221158.953125,3,2,1
11,11,0.2069999999999772,345,22.9,0.976262247894715,266698.75,6,2,0
12,12,0.208799999999977,348,24.900000000000002,0.9743097233989256,205778.1875,7,2,0
13,13,0.208799999999977,348,28.0,0.9723611039521278,250437.5,7,3,1
14,14,0.2069999999999772,345,28.600000000000005,0.9704163817442236,206800.140625,10,1,1
15,15,0.208799999999977,348,17.5,0.9684755489807352,288579.90625,5,1,0
16,16,0.208799999999977,348,13.700000000000001,0.9665385978827737,228871.234375,3,1,0
17,17,0.2069999999999772,345,19.6,0.9646055206870082,111282.8984375,4,2,1
18,18,0.2123999999999766,354,24.5,0.9626763096456342,198191.5625,5,3,1
19,19,0.2088000000001058,348,22.6,0.9607509570263429,132288.734375,7,1,1
20,20,0.20880000000013155,348,14.100000000000001,0.9588294551122902,174712.09375,2,2,0
21,21,0.20880000000013155,348,16.3,0.9569117962020657,167871.34375,6,0,0
22,22,0.2070000000001304,345,22.1,0.9549979726096616,249922.453125,4,3,1
23,23,0.2070000000001304,345,21.400000000000002,0.9530879766644422,147796.90625,5,2,1
24,24,0.21240000000013382,354,14.900000000000002,0.9511818007111134,174758.46875,5,0,0
25,25,0.2070000000001304,345,13.899999999999999,0.9492794371096911,174369.390625,3,1,0
26,26,0.20880000000013155,348,24.800000000000004,0.9473808782354717,188441.890625,2,5,1
27,27,0.2070000000001304,345,17.900000000000002,0.9454861164790007,175535.96875,3,2,1
28,28,0.2070000000001304,345,20.900000000000002,0.9435951442460427,167902.40625,6,1,1
29,29,0.20520000000012928,342,19.8,0.9417079539575507,124346.15625,4,2,1
30,30,0.21060000000013268,351,24.5,0.9398245380496356,154299.28125,5,3,1
31,31,0.20880000000013155,348,21.299999999999997,0.9379448889735363,160471.65625,6,2,0
32,32,0.20880000000013155,348,14.0,0.9360689991955893,188933.765625,3,1,1
33,33,0.20880000000013155,348,17.200000000000003,0.9341968611971981,174259.28125,5,1,0
34,34,0.2070000000001304,345,26.400000000000006,0.9323284674748037,173884.8125,8,2,0
35,35,0.21420000000013495,357,27.0,0.930463810539854,133969.671875,5,4,1
36,36,0.21600000000013608,360,21.6,0.9286028829187744,155333.5,4,3,0
37,37,0.20880000000013155,348,6.700000000000001,0.9267456771529368,107519.984375,1,0,0
38,38,0.2070000000001304,345,14.0,0.9248921857986309,135650.96875,3,1,1
39,39,0.20520000000012928,342,29.6,0.9230424014270336,123971.875,9,2,1
40,40,0.2070000000001304,345,33.7,0.9211963166241796,58677.33203125,8,4,1
41,41,0.20880000000013155,348,28.200000000000003,0.9193539239909312,125338.3046875,7,3,1
42,42,0.20880000000013155,348,17.9,0.9175152161429493,72738.015625,4,2,0
43,43,0.20880000000013155,348,14.200000000000001,0.9156801857106633,132592.28125,2,2,0
44,44,0.2070000000001304,345,27.9,0.913848825339242,101407.265625,7,3,0
45,45,0.21060000000013268,351,18.6,0.9120211276885636,142935.953125,4,2,0
46,46,0.21240000000013382,354,18.3,0.9101970854331864,96478.84375,4,2,0
47,47,0.21240000000013382,354,13.400000000000002,0.9083766912623201,54914.0,3,1,0
48,48,0.21060000000013268,351,29.200000000000003,0.9065599378797955,82936.0,6,4,1
49,49,0.20880000000013155,348,32.3,0.9047468180040359,82944.15625,9,3,1
50,50,0.20880000000013155,348,15.600000000000001,0.9029373243680279,114445.546875,4,1,0
51,51,0.20880000000013155,348,26.200000000000003,0.9011314497192918,90873.7890625,6,3,1
52,52,0.20880000000013155,348,30.600000000000005,0.8993291868198532,90484.125,6,4,1
53,53,0.21240000000013382,354,15.5,0.8975305284462135,71325.40625,4,1,0
54,54,0.21060000000013268,351,19.1,0.8957354673893211,86298.984375,4,2,1
55,55,0.21240000000013382,354,22.299999999999997,0.8939439964545425,78197.0703125,7,1,1
56,56,0.2070000000001304,345,19.3,0.8921561084616334,77173.8359375,4,2,1
57,57,0.20880000000013155,348,15.000000000000002,0.8903717962447101,99581.046875,2,2,1
58,58,0.20880000000013155,348,17.500000000000004,0.8885910526522206,67113.828125,3,2,1
59,59,0.2070000000001304,345,27.800000000000004,0.8868138705469162,60818.109375,5,4,1
60,60,0.2070000000001304,345,12.200000000000001,0.8850402428058224,77254.46875,2,1,1
61,61,0.21240000000013382,354,23.400000000000002,0.8832701623202107,93851.15625,3,4,1
62,62,0.20880000000013155,348,26.300000000000004,0.8815036219955703,76755.28125,8,2,0
63,63,0.20880000000013155,348,24.2,0.8797406147515792,73308.65625,5,3,1
64,64,0.2070000000001304,345,12.200000000000001,0.877981133522076,64334.828125,4,0,0
65,65,0.21060000000013268,351,24.700000000000003,0.8762251712550319,63884.328125,5,3,1
66,66,0.21060000000013268,351,16.8,0.8744727209125218,69070.796875,3,2,0
67,67,0.21060000000013268,351,23.200000000000003,0.8727237754706968,33544.8046875,4,3,1
68,68,0.21060000000013268,351,22.400000000000002,0.8709783279197554,57851.44921875,5,2,1
69,69,0.21060000000013268,351,22.1,0.8692363712639158,50687.12890625,5,2,1
70,70,0.21060000000013268,351,22.800000000000004,0.867497898521388,65866.8671875,7,1,1
71,71,0.20880000000013155,348,31.1,0.8657629027243453,45634.5,7,4,1
72,72,0.21060000000013268,351,21.300000000000004,0.8640313769188966,57708.63671875,7,1,0
73,73,0.21060000000013268,351,15.4,0.8623033141650589,45309.5390625,4,1,0
74,74,0.20880000000013155,348,15.1,0.8605787075367288,54514.10546875,1,3,0
75,75,0.20880000000013155,348,11.9,0.8588575501216553,40107.18359375,2,1,0
76,76,0.21419999999982053,357,25.1,0.857139835021412,54403.54296875,8,1,1
77,77,0.2141999999995008,357,25.9,0.8554255553513692,38331.70703125,5,3,1
78,78,0.21059999999950918,351,16.5,0.8537147042406664,41975.890625,3,2,0
79,79,0.20879999999951337,348,17.5,0.8520072748321851,43821.8046875,3,2,1
80,80,0.2141999999995008,357,15.200000000000001,0.8503032602825207,30527.3046875,3,1,1
81,81,0.20699999999951757,345,17.3,0.8486026537619556,52502.8203125,4,1,1
82,82,0.20699999999951757,345,30.4,0.8469054484544317,41600.484375,8,3,1
