,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
0,0,0.11199999999999954,280,-113.20000000000002,0.997,0.17236590385437012,,"[7, 3, 4, 9]"
1,1,0.11200000000000276,280,-125.20000000000002,0.994009,0.14132016897201538,,"[4, 5, 4, 6]"
2,2,0.12400000000000355,310,-124.0,0.991026973,0.11821241676807404,,"[5, 6, 4, 9]"
3,3,0.11200000000000321,280,-124.9,0.988053892081,0.10918597877025604,,"[6, 4, 4, 11]"
4,4,0.11599999999999278,290,-133.40000000000003,0.985089730404757,0.10864795744419098,,"[4, 2, 4, 14]"
5,5,0.1079999999999881,270,-126.4,0.9821344612135428,0.09725360572338104,,"[0, 6, 4, 6]"
6,6,0.11199999999998766,280,-141.60000000000002,0.9791880578299021,0.08954010903835297,,"[1, 3, 4, 4]"
7,7,0.1079999999999881,270,-127.70000000000002,0.9762504936564125,0.09528596699237823,,"[2, 4, 4, 9]"
8,8,0.11599999999998722,290,-105.1,0.9733217421754432,0.08627600967884064,,"[6, 8, 4, 15]"
9,9,0.11199999999998766,280,-129.10000000000002,0.9704017769489168,0.08126793801784515,,"[3, 5, 4, 5]"
10,10,0.11199999999998766,280,-118.5,0.9674905716180701,0.07540655881166458,,"[5, 3, 4, 8]"
11,11,0.11999999999998678,300,-140.70000000000005,0.9645880999032158,0.087208092212677,,"[1, 3, 4, 7]"
12,12,0.11199999999998766,280,-119.5,0.9616943356035061,0.0816793143749237,,"[5, 4, 4, 5]"
13,13,0.1079999999999881,270,-120.00000000000001,0.9588092525966956,0.07727416604757309,,"[6, 3, 4, 6]"
14,14,0.11599999999998722,290,-132.90000000000003,0.9559328248389055,0.07562533766031265,,"[3, 4, 4, 4]"
15,15,0.11199999999998766,280,-104.10000000000001,0.9530650263643888,0.07635977119207382,,"[12, 3, 4, 9]"
16,16,0.11599999999998722,290,-134.50000000000006,0.9502058312852957,0.06764344871044159,,"[3, 4, 4, 6]"
17,17,0.11199999999998766,280,-122.5,0.9473552137914398,0.06677459180355072,,"[6, 3, 4, 6]"
