,Episode,high,low
0,0,7.775,10.6
1,1,6.85,7.525
2,2,6.475,7.625
3,3,6.475,7.475
4,4,6.775,8.35
5,5,6.975,8.5
6,6,7.15,8.0
7,7,6.05,7.15
8,8,6.6,7.025
9,9,6.6,7.5
10,10,7.025,8.2
11,11,6.35,7.975
12,12,6.925,7.95
13,13,7.375,8.175
14,14,6.975,8.475
15,15,6.65,7.4
16,16,7.325,8.325
17,17,6.95,7.825
18,18,6.25,8.375
19,19,6.575,8.375
20,20,8.1,7.9
21,21,7.025,7.85
22,22,7.15,8.5
23,23,6.925,8.2
24,24,6.8,7.925
25,25,7.0,7.9
26,26,7.1,8.925
27,27,7.725,8.15
28,28,7.275,7.525
29,29,7.275,7.375
30,30,7.725,7.225
31,31,7.275,8.1
32,32,6.9,7.475
33,33,7.375,7.9
34,34,6.975,7.95
35,35,6.625,8.275
36,36,6.8,8.275
37,37,7.75,8.8
38,38,7.175,8.025
39,39,6.975,8.8
40,40,7.275,8.425
41,41,6.0,7.625
42,42,7.325,7.775
43,43,7.025,7.925
44,44,7.325,8.125
45,45,7.075,7.375
46,46,7.65,8.25
47,47,7.0,8.475
48,48,7.3,7.375
49,49,6.95,7.775
50,50,7.525,8.725
51,51,7.4,7.25
52,52,6.75,7.575
53,53,6.925,8.1
54,54,7.075,7.95
55,55,7.475,8.05
56,56,6.875,8.35
57,57,7.5,8.6
58,58,6.45,8.3
59,59,7.25,8.875
60,60,6.8,6.525
61,61,7.125,7.675
62,62,6.775,8.275
63,63,7.025,8.275
64,64,7.475,7.9
65,65,7.175,7.55
66,66,7.675,8.075
67,67,7.025,7.775
68,68,7.0,9.35
69,69,7.375,7.425
70,70,7.725,8.4
71,71,6.725,8.375
72,72,6.8,8.025
73,73,7.7,8.1
74,74,5.7,6.95
75,75,8.175,7.475
76,76,6.9,8.35
77,77,7.125,8.075
78,78,7.475,8.725
79,79,6.975,8.275
80,80,6.6,7.775
81,81,7.025,6.825
82,82,7.55,7.85
83,83,6.925,8.15
84,84,7.3,7.925
85,85,7.425,7.875
86,86,7.6,8.2
87,87,7.85,7.4
88,88,7.875,7.75
89,89,6.775,8.4
90,90,7.475,7.1
91,91,7.425,7.675
92,92,6.85,8.625
93,93,7.275,8.55
94,94,6.325,8.225
95,95,6.675,7.6
96,96,7.45,8.475
97,97,6.65,7.775
98,98,7.2,8.25
99,99,7.025,8.85
100,100,6.45,8.025
101,101,7.725,8.0
102,102,7.1,7.575
103,103,6.575,8.75
104,104,6.925,8.925
105,105,7.075,8.425
106,106,6.825,8.0
107,107,7.5,7.475
108,108,6.575,8.05
109,109,6.975,8.85
110,110,6.55,8.55
111,111,7.775,8.0
112,112,7.375,8.25
113,113,6.125,7.8
114,114,5.65,8.525
115,115,6.575,7.175
116,116,6.9,7.525
117,117,6.95,8.725
118,118,6.875,7.925
119,119,6.725,8.625
120,120,6.525,7.85
121,121,7.3,8.625
122,122,6.675,7.875
123,123,7.175,8.0
124,124,7.725,8.525
125,125,7.525,7.625
126,126,7.3,8.15
127,127,6.325,8.175
128,128,7.075,8.325
129,129,7.625,8.45
130,130,7.05,7.25
131,131,7.35,6.95
132,132,6.75,8.675
133,133,6.2,8.125
134,134,6.7,6.85
135,135,6.575,8.075
136,136,6.275,8.625
137,137,7.4,8.8
138,138,7.125,8.625
139,139,6.95,8.125
140,140,7.6,7.475
141,141,6.975,7.65
142,142,6.45,7.425
143,143,7.225,7.575
144,144,6.625,8.075
145,145,6.95,8.1
146,146,6.5,7.225
147,147,7.125,8.875
148,148,6.475,6.925
149,149,7.525,8.175
150,150,6.825,8.9
151,151,6.675,9.2
152,152,6.65,8.175
153,153,6.925,7.675
154,154,7.425,7.8
155,155,6.9,8.35
156,156,7.1,7.05
157,157,6.575,7.8
158,158,7.825,7.275
