,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.11940000000000048,199,14.600000000000001,1,31.995756149291992,9,87
1,1,0.12059999999999801,201,14.5,0.9997,4.221803188323975,9,86
2,2,0.113399999999998,189,18.700000000000003,0.9994000900000001,1.5729573965072632,15,98
3,3,0.1247999999999978,208,15.300000000000002,0.999100269973,0.9799590110778809,11,84
4,4,0.11580000000000668,193,14.500000000000002,0.9988005398920082,0.8866938948631287,8,91
5,5,0.11520000000000863,192,13.800000000000004,0.9985008997300406,0.8486865758895874,7,89
6,6,0.13260000000000993,221,16.500000000000004,0.9982013494601216,0.7958999872207642,15,76
7,7,0.12660000000000948,211,15.500000000000004,0.9979018890552837,0.5406842231750488,11,86
8,8,0.10859999999999381,181,16.200000000000003,0.9976025184885671,0.7376099824905396,12,88
9,9,0.1415999999999844,236,14.900000000000002,0.9973032377330205,0.5563775300979614,11,80
10,10,0.11219999999998764,187,12.600000000000001,0.9970040467617006,0.5460230112075806,6,82
11,11,0.12479999999998626,208,16.1,0.9967049455476722,0.5423984527587891,12,87
12,12,0.12059999999998672,201,16.9,0.9964059340640079,0.5573101043701172,13,90
13,13,0.11759999999998705,196,15.800000000000002,0.9961070122837887,0.5145035982131958,12,84
14,14,0.13139999999998553,219,17.300000000000004,0.9958081801801036,0.5426073670387268,14,89
15,15,0.11339999999998751,189,15.6,0.9955094377260496,0.34162384271621704,11,87
16,16,0.11219999999998786,187,15.900000000000002,0.9952107848947318,0.5652170181274414,11,90
17,17,0.12119999999998665,202,19.400000000000006,0.9949122216592634,0.628830075263977,19,85
18,18,0.12599999999998612,210,14.9,0.9946137479927657,0.5003605484962463,10,85
19,19,0.12839999999998586,214,15.500000000000002,0.9943153638683679,0.46364372968673706,11,86
20,20,0.13019999999998566,217,18.200000000000003,0.9940170692592074,0.36033040285110474,20,68
21,21,0.1571999999999827,262,14.400000000000006,0.9937188641384297,0.4037700891494751,11,75
22,22,0.136199999999985,227,18.100000000000005,0.9934207484791882,0.5468130111694336,16,87
23,23,0.11579999999998725,193,19.200000000000003,0.9931227222546445,0.47274819016456604,16,98
24,24,0.10739999999998817,179,15.000000000000002,0.9928247854379681,0.3668774366378784,9,91
25,25,0.12479999999998626,208,16.000000000000004,0.9925269380023368,0.4300839900970459,12,86
26,26,0.11819999999998698,197,15.100000000000001,0.9922291799209362,0.3577609658241272,10,87
27,27,0.13379999999998526,223,13.0,0.9919315111669599,0.4062917232513428,8,76
