,Episode,p1_q,p2_q,p1_e,p2_e
0,0,0.0058649999999999996,0.016704,0.007155,0.039756
1,1,0.006539999999999999,0.014417999999999997,0.00783,0.037469999999999996
2,2,0.007425000000000001,0.014322,0.008715,0.037374
3,3,0.00738,0.012599999999999998,0.00867,0.035651999999999996
4,4,0.00504,0.017981999999999998,0.00633,0.041033999999999994
5,5,0.0072,0.013655999999999996,0.008490000000000001,0.036708000000000005
6,6,0.007124999999999999,0.016092,0.008415,0.039144
7,7,0.007064999999999999,0.015822,0.008355,0.038874
8,8,0.005939999999999999,0.018738,0.00723,0.04179
9,9,0.006525,0.016926,0.007814999999999999,0.039978
10,10,0.007169999999999998,0.016763999999999998,0.00846,0.039816
11,11,0.005115,0.020033999999999996,0.006404999999999999,0.043086
12,12,0.006660000000000001,0.015204000000000002,0.00795,0.038256
13,13,0.007544999999999999,0.013974,0.008835,0.037025999999999996
14,14,0.005355,0.018264000000000002,0.006645,0.04131599999999999
15,15,0.007095,0.015942,0.008385,0.038994
16,16,0.005595,0.016836,0.006885,0.039888
17,17,0.007065,0.016332000000000003,0.008354999999999998,0.039384
18,18,0.008745,0.013344,0.010034999999999999,0.036396
19,19,0.006314999999999999,0.01764,0.007605000000000001,0.04069199999999999
20,20,0.008984999999999998,0.012521999999999998,0.010275000000000001,0.035574
21,21,0.00669,0.015984,0.00798,0.039036
22,22,0.006885,0.016547999999999997,0.008175,0.0396
23,23,0.006194999999999999,0.016811999999999997,0.007485,0.039864000000000004
24,24,0.008220000000000002,0.012893999999999996,0.00951,0.035946000000000006
25,25,0.00678,0.016686,0.008069999999999999,0.039737999999999996
26,26,0.006869999999999999,0.015323999999999999,0.00816,0.03837599999999999
27,27,0.00792,0.01383,0.00921,0.036882
28,28,0.0075899999999999995,0.016032,0.008879999999999999,0.039084
29,29,0.00693,0.013979999999999998,0.00822,0.037031999999999995
30,30,0.00663,0.016356,0.00792,0.039408
31,31,0.006104999999999999,0.016763999999999998,0.0073950000000000005,0.039816
32,32,0.005925,0.015335999999999999,0.007215000000000001,0.038388
33,33,0.00822,0.014592,0.00951,0.037644
34,34,0.008115,0.014964,0.009405,0.038015999999999994
35,35,0.00741,0.016301999999999997,0.0087,0.039354
36,36,0.005984999999999999,0.017561999999999998,0.007274999999999999,0.040614
37,37,0.004095,0.019596,0.005384999999999999,0.04264799999999999
38,38,0.006855,0.016242,0.008145,0.03929400000000001
39,39,0.007065,0.016566,0.008355,0.039618
40,40,0.005115,0.017898,0.006404999999999999,0.04095
41,41,0.005625,0.016835999999999997,0.006915,0.039888
42,42,0.00891,0.013181999999999998,0.010199999999999999,0.036233999999999995
43,43,0.006900000000000001,0.014903999999999999,0.00819,0.037956000000000004
44,44,0.007514999999999999,0.015648,0.008805,0.0387
45,45,0.006735,0.014141999999999997,0.008025,0.03719399999999999
46,46,0.006855,0.014826,0.008145,0.037878
47,47,0.005144999999999999,0.017832000000000004,0.006434999999999999,0.040884000000000004
48,48,0.006314999999999999,0.0147,0.007604999999999999,0.037752
49,49,0.007454999999999999,0.013494,0.008745,0.036545999999999995
50,50,0.00741,0.015173999999999998,0.0087,0.038225999999999996
