,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.13260000000000038,221,13.8,1,0.04238906502723694,10,84
1,1,0.12299999999999783,205,14.300000000000002,0.9997,0.032935209572315216,9,93
2,2,0.113399999999998,189,13.900000000000002,0.9994000900000001,0.023040326312184334,8,93
3,3,0.11219999999999802,187,16.000000000000004,0.999100269973,0.020341215655207634,12,98
4,4,0.13320000000000826,222,15.900000000000002,0.9988005398920082,0.02206369861960411,16,81
5,5,0.10500000000000786,175,14.399999999999999,0.9985008997300406,0.020972589030861855,9,94
6,6,0.12480000000000935,208,13.000000000000002,0.9982013494601216,0.01658511906862259,8,84
7,7,0.1242000000000093,207,12.700000000000001,0.9979018890552837,0.01732487976551056,7,85
8,8,0.13919999999999044,232,13.400000000000002,0.9976025184885671,0.017840996384620667,12,72
9,9,0.13319999999998533,222,14.600000000000001,0.9973032377330205,0.017632778733968735,12,84
10,10,0.12479999999998626,208,12.8,0.9970040467617006,0.021077360957860947,8,82
11,11,0.145199999999984,242,14.400000000000002,0.9967049455476722,0.01915004476904869,15,70
12,12,0.12419999999998632,207,15.100000000000001,0.9964059340640079,0.018038518726825714,13,85
13,13,0.10919999999998797,182,14.200000000000003,0.9961070122837887,0.017642132937908173,9,92
14,14,0.12239999999998652,204,14.700000000000001,0.9958081801801036,0.012663464993238449,14,77
15,15,0.12659999999998606,211,13.800000000000002,0.9955094377260496,0.01931682974100113,10,84
16,16,0.12899999999998601,215,15.800000000000002,0.9952107848947318,0.02169390395283699,15,84
17,17,0.12839999999998586,214,12.8,0.9949122216592634,0.019118063151836395,8,82
18,18,0.11399999999998744,190,13.900000000000002,0.9946137479927657,0.017859462648630142,8,93
19,19,0.13199999999998546,220,13.600000000000001,0.9943153638683679,0.016868671402335167,10,82
20,20,0.11699999999998711,195,14.400000000000002,0.9940170692592074,0.018216701224446297,8,98
21,21,0.12359999999998639,206,14.300000000000002,0.9937188641384297,0.017257487401366234,11,85
22,22,0.1289999999999858,215,14.200000000000003,0.9934207484791882,0.020040877163410187,11,84
23,23,0.12119999999998665,202,15.000000000000004,0.9931227222546445,0.021417947486042976,13,84
24,24,0.12959999999998573,216,13.900000000000002,0.9928247854379681,0.02006547711789608,8,93
