,Episode,high,low
0,0,8.06,9.11
1,1,6.57,8.06
2,2,7.08,8.19
3,3,6.72,8.17
4,4,7.5,7.66
5,5,6.67,7.8
6,6,6.95,8.19
7,7,6.72,7.91
8,8,7.08,7.73
9,9,6.71,8.25
10,10,7.13,7.86
11,11,6.82,8.25
12,12,7.36,8.54
13,13,7.27,7.6
14,14,6.5,7.91
15,15,7.6,8.08
16,16,7.28,8.05
17,17,7.18,8.18
18,18,7.22,7.71
19,19,7.42,8.01
20,20,7.12,8.38
21,21,7.19,7.94
22,22,6.85,7.41
23,23,7.45,7.54
24,24,6.97,8.01
25,25,7.45,7.88
26,26,6.84,7.73
27,27,6.76,8.11
28,28,7.4,8.22
29,29,6.8,8.38
30,30,7.28,8.25
31,31,7.24,7.76
32,32,6.93,7.85
33,33,7.12,8.21
34,34,6.81,7.82
35,35,7.27,7.83
36,36,6.82,7.89
37,37,7.09,7.68
38,38,6.63,8.14
39,39,6.8,8.36
40,40,7.17,7.7
41,41,7.02,8.42
42,42,7.13,7.81
43,43,7.18,7.92
44,44,6.89,7.88
45,45,7.06,8.11
46,46,6.84,8.38
47,47,6.88,7.55
48,48,7.14,8.32
49,49,6.82,8.0
50,50,6.88,7.88
51,51,7.13,8.51
52,52,6.89,7.67
53,53,6.68,8.22
54,54,6.77,8.32
55,55,6.99,8.21
56,56,7.03,7.81
57,57,6.96,7.61
58,58,6.76,8.11
59,59,7.12,7.97
60,60,6.99,8.11
61,61,6.58,8.5
62,62,6.83,7.8
63,63,7.0,8.58
64,64,6.85,7.93
65,65,6.85,8.26
66,66,7.09,7.41
67,67,6.98,8.2
68,68,7.19,7.94
69,69,7.13,7.53
70,70,6.35,8.23
71,71,6.97,7.7
72,72,6.87,7.94
73,73,7.16,8.64
74,74,6.77,8.12
75,75,7.42,8.02
76,76,6.97,8.06
77,77,6.86,7.84
78,78,6.56,8.3
79,79,7.35,8.15
80,80,7.02,8.05
81,81,7.15,8.02
82,82,6.84,8.58
83,83,7.03,8.36
84,84,7.31,8.35
85,85,6.98,7.66
86,86,7.55,7.71
87,87,6.82,8.27
88,88,7.27,8.59
89,89,6.63,8.01
90,90,6.82,7.8
91,91,6.59,8.3
92,92,7.42,8.31
93,93,7.21,8.04
94,94,7.08,7.46
95,95,6.69,7.97
96,96,7.23,7.83
97,97,7.45,8.37
98,98,6.93,7.74
99,99,7.22,8.06
100,100,7.02,8.41
101,101,7.45,8.5
102,102,6.13,7.82
103,103,7.01,8.37
104,104,6.85,7.79
105,105,7.16,8.88
106,106,6.2,8.07
107,107,6.67,8.05
108,108,6.66,7.4
109,109,7.2,8.22
110,110,6.73,8.24
111,111,7.17,8.19
112,112,6.97,7.82
113,113,7.35,7.46
114,114,7.27,8.28
115,115,7.07,7.63
116,116,7.09,8.59
117,117,6.78,7.7
118,118,6.96,7.93
119,119,7.24,8.21
120,120,7.29,7.99
121,121,7.31,8.23
122,122,7.46,7.76
123,123,7.02,8.03
124,124,7.36,7.68
125,125,7.07,7.89
126,126,6.46,7.96
127,127,7.17,7.94
128,128,7.32,7.49
129,129,7.0,8.21
130,130,7.34,8.18
131,131,7.14,8.27
132,132,7.07,8.5
133,133,7.21,8.9
134,134,6.68,7.92
135,135,7.0,7.91
136,136,7.34,8.59
137,137,6.83,7.79
138,138,6.86,8.44
139,139,6.75,7.97
140,140,6.55,7.92
141,141,7.09,7.43
142,142,7.3,8.03
143,143,6.92,7.14
144,144,7.01,7.89
145,145,7.26,7.7
146,146,7.61,8.26
147,147,6.55,8.07
148,148,6.99,7.42
149,149,6.52,7.16
150,150,6.75,8.23
151,151,6.7,7.78
152,152,6.71,7.86
153,153,6.63,8.18
154,154,7.12,8.36
155,155,6.7,8.38
156,156,6.21,7.95
157,157,6.88,8.24
158,158,7.03,7.83
159,159,6.67,8.13
160,160,6.97,8.04
161,161,7.18,7.8
162,162,6.96,8.22
163,163,6.6,8.26
164,164,7.08,8.34
165,165,7.06,8.25
166,166,6.77,7.85
167,167,6.8,8.07
168,168,7.31,8.02
169,169,7.03,8.07
170,170,7.03,8.6
171,171,6.84,7.72
172,172,6.91,8.02
173,173,7.37,7.74
174,174,6.93,7.72
175,175,6.23,8.27
176,176,6.89,7.96
177,177,6.95,7.58
178,178,6.79,8.28
179,179,7.05,7.7
180,180,6.86,7.75
181,181,6.62,7.82
182,182,6.85,7.69
183,183,7.22,7.59
184,184,7.19,8.15
185,185,6.43,8.16
186,186,6.96,7.99
187,187,6.48,7.92
188,188,7.19,8.27
189,189,7.14,7.99
190,190,6.8,7.66
191,191,6.81,8.11
192,192,6.68,8.09
193,193,7.29,8.01
194,194,6.79,8.31
195,195,7.0,8.1
196,196,7.79,7.79
197,197,6.47,8.61
198,198,7.09,7.84
199,199,7.06,7.47
200,200,7.3,7.84
201,201,6.97,7.77
202,202,6.67,8.24
203,203,6.95,7.91
204,204,6.9,7.82
205,205,7.18,8.05
206,206,6.64,7.68
207,207,7.24,7.97
208,208,7.05,8.29
209,209,7.2,7.56
210,210,7.34,7.61
211,211,7.04,8.46
212,212,7.41,8.0
213,213,7.04,7.75
214,214,7.52,8.37
215,215,7.0,7.98
216,216,6.92,8.14
217,217,7.3,8.5
218,218,6.94,8.07
219,219,7.46,7.73
220,220,6.61,7.62
221,221,6.68,8.41
222,222,7.13,8.1
223,223,6.82,8.45
224,224,7.1,8.01
225,225,6.89,8.19
226,226,7.23,7.87
227,227,6.68,7.84
228,228,6.83,7.67
229,229,7.56,8.31
230,230,7.12,7.96
231,231,6.54,8.46
232,232,7.12,7.81
233,233,6.7,7.89
234,234,6.92,7.99
235,235,6.98,8.41
236,236,7.13,7.92
237,237,7.13,7.91
238,238,7.42,8.22
239,239,7.02,7.82
240,240,6.43,8.07
241,241,7.25,8.08
242,242,6.86,8.03
243,243,6.91,8.19
244,244,6.8,7.98
245,245,7.17,7.9
246,246,7.21,8.19
247,247,7.49,8.1
248,248,6.81,8.71
249,249,7.05,7.63
250,250,6.66,8.0
251,251,7.14,7.54
252,252,6.87,7.55
253,253,7.2,8.22
254,254,6.98,8.28
255,255,7.21,7.59
256,256,7.54,7.9
257,257,7.01,7.68
258,258,7.08,8.0
259,259,6.9,8.25
260,260,7.07,8.31
261,261,7.06,8.18
262,262,7.33,8.0
263,263,6.62,8.58
264,264,7.21,8.05
265,265,7.64,7.66
266,266,7.38,7.82
267,267,6.55,8.26
268,268,6.72,7.96
269,269,7.24,8.18
270,270,6.76,7.8
271,271,7.1,7.6
272,272,7.2,7.68
273,273,6.99,8.37
274,274,7.34,8.26
275,275,7.23,7.52
276,276,7.69,8.13
277,277,7.04,8.0
278,278,6.81,8.12
279,279,7.45,7.7
280,280,6.82,7.89
281,281,7.02,7.98
282,282,7.23,8.11
283,283,7.43,7.44
284,284,7.31,8.53
285,285,7.44,8.14
286,286,7.23,7.71
287,287,7.07,7.75
288,288,7.35,7.87
289,289,6.62,8.05
290,290,6.97,7.65
291,291,6.77,8.04
292,292,6.71,8.41
293,293,7.01,7.46
294,294,7.09,7.94
295,295,7.38,8.06
296,296,7.42,8.13
297,297,7.5,8.2
298,298,7.31,7.97
299,299,6.8,7.28
300,300,6.75,8.02
301,301,6.77,7.76
302,302,7.24,8.39
303,303,7.12,8.21
304,304,6.71,8.33
305,305,7.22,7.76
306,306,6.67,8.2
307,307,6.86,7.95
308,308,6.99,7.54
309,309,6.91,7.74
310,310,6.58,8.68
311,311,7.21,8.5
312,312,7.28,7.91
313,313,7.09,7.68
314,314,7.05,7.65
315,315,7.08,7.59
316,316,6.98,7.69
317,317,7.23,7.89
318,318,6.76,7.87
319,319,7.09,7.62
320,320,6.88,8.37
321,321,7.7,8.18
322,322,6.36,7.7
323,323,7.03,7.52
324,324,6.85,8.04
325,325,7.23,7.82
326,326,6.54,7.98
327,327,6.91,7.41
328,328,6.79,8.2
329,329,6.94,7.72
330,330,6.94,8.09
331,331,7.02,7.99
332,332,7.28,8.25
333,333,6.85,8.32
334,334,7.74,7.88
335,335,7.07,8.19
336,336,6.59,7.89
337,337,6.99,8.34
338,338,6.74,8.48
339,339,6.06,8.24
340,340,7.07,8.15
341,341,6.99,7.35
342,342,6.57,8.29
343,343,6.67,8.67
344,344,6.73,7.87
345,345,6.75,8.29
346,346,6.87,8.49
347,347,7.1,8.0
348,348,7.07,7.69
349,349,7.34,8.21
350,350,6.96,7.86
351,351,7.29,8.04
352,352,6.98,8.14
353,353,7.03,7.87
354,354,7.3,7.63
355,355,7.14,7.78
356,356,7.11,7.95
357,357,7.34,8.09
358,358,6.93,7.9
359,359,7.44,7.74
360,360,7.32,7.43
361,361,6.6,8.07
362,362,7.15,8.3
363,363,6.93,8.49
364,364,7.13,8.24
365,365,7.16,7.92
366,366,7.08,7.68
